name,position,age,nation,club,value,confederation,league
Erik,Left-Back,24.0,United Arab Emirates,Al-Ain FC,€2.30m,UEFA,
Kuryu Matsuki,Attacking Midfield,22.0,Japan,Southampton FC,€2.40m,UEFA,
Mathew Ryan,Goalkeeper,33.0,Australia,Without Club,€2.50m,UEFA,
Edmílson Junior,Left Winger,30.0,Qatar,Al-Duhail SC,€2.50m,UEFA,
Takuma Asano,Right Winger,30.0,Japan,RCD Mallorca,€2.50m,UEFA,
Calvin Verdonk,Left-Back,28.0,Indonesia,NEC Nijmegen,€2.50m,UEFA,
Ali Gholizadeh,Right Winger,29.0,Iran,Lech Poznan,€2.50m,UEFA,
Jae-sung Lee,Attacking Midfield,32.0,"Korea, South",1.FSV Mainz 05,€2.50m,UEFA,
Koki Ogawa,Centre-Forward,27.0,Japan,NEC Nijmegen,€2.50m,UEFA,
Ryotaro Ito,Central Midfield,27.0,Japan,Sint-Truidense VV,€2.50m,UEFA,
Aziz Ganiev,Central Midfield,27.0,Uzbekistan,Al-Bataeh CSC,€2.50m,UEFA,
Khaled Ebraheim,Right-Back,28.0,United Arab Emirates,Sharjah FC,€2.50m,UEFA,
Connor Metcalfe,Central Midfield,25.0,Australia,FC St. Pauli,€2.50m,UEFA,
Aiham Ousou,Centre-Back,25.0,Syria,Royal Charleroi SC,€2.50m,UEFA,
Daisuke Yokota,Right Winger,25.0,Japan,KAA Gent,€2.50m,UEFA,
Ali Al-Hamadi,Centre-Forward,23.0,Iraq,Ipswich Town,€2.50m,UEFA,
Gue-sung Cho,Centre-Forward,27.0,"Korea, South",FC Midtjylland,€3.50m,UEFA,
Min-hyeok Yang,Right Winger,19.0,"Korea, South",Tottenham Hotspur,€3.50m,UEFA,
Woo-yeong Jeong,Attacking Midfield,25.0,"Korea, South",1.FC Union Berlin,€4.00m,UEFA,
Sardar Azmoun,Centre-Forward,30.0,Iran,Shabab Al-Ahli Club,€8.00m,UEFA,
Keito Nakamura,Left Winger,24.0,Japan,Stade Reims,€8.00m,UEFA,
Ayase Ueda,Centre-Forward,26.0,Japan,Feyenoord Rotterdam,€8.00m,UEFA,
Abbosbek Fayzullaev,Attacking Midfield,21.0,Uzbekistan,CSKA Moscow,€8.00m,UEFA,
Alessandro Circati,Centre-Back,21.0,Australia,Parma Calcio 1913,€8.00m,UEFA,
Kyogo Furuhashi,Centre-Forward,30.0,Japan,Birmingham City,€9.00m,UEFA,
Tsuyoshi Watanabe,Centre-Back,28.0,Japan,KAA Gent,€9.00m,UEFA,
In-beom Hwang,Central Midfield,28.0,"Korea, South",Feyenoord Rotterdam,€10.00m,UEFA,
Ao Tanaka,Defensive Midfield,26.0,Japan,Leeds United,€10.00m,UEFA,
Yuito Suzuki,Attacking Midfield,23.0,Japan,SC Freiburg,€10.00m,UEFA,
Yukinari Sugawara,Right-Back,25.0,Japan,Southampton FC,€11.00m,UEFA,
Koki Machida,Centre-Back,27.0,Japan,TSG 1899 Hoffenheim,€11.00m,UEFA,
Hee-chan Hwang,Centre-Forward,29.0,"Korea, South",Wolverhampton Wanderers,€12.00m,UEFA,
Ko Itakura,Centre-Back,28.0,Japan,Borussia Mönchengladbach,€12.00m,UEFA,
Daichi Kamada,Attacking Midfield,28.0,Japan,Crystal Palace,€12.00m,UEFA,
Reo Hatate,Central Midfield,27.0,Japan,Celtic FC,€13.00m,UEFA,
Hidemasa Morita,Central Midfield,30.0,Japan,Sporting CP,€13.00m,UEFA,
Takumi Minamino,Left Winger,30.0,Japan,AS Monaco,€15.00m,UEFA,
Daizen Maeda,Left Winger,27.0,Japan,Celtic FC,€15.00m,UEFA,
Takehiro Tomiyasu,Right-Back,26.0,Japan,Without Club,€18.00m,UEFA,
Heung-min Son,Left Winger,33.0,"Korea, South",Tottenham Hotspur,€20.00m,UEFA,
Zion Suzuki,Goalkeeper,22.0,Japan,Parma Calcio 1913,€20.00m,UEFA,
Kaishu Sano,Defensive Midfield,24.0,Japan,1.FSV Mainz 05,€20.00m,UEFA,
Hiroki Ito,Centre-Back,26.0,Japan,Bayern Munich,€25.00m,UEFA,
Ritsu Doan,Right Winger,27.0,Japan,SC Freiburg,€25.00m,UEFA,
Kang-in Lee,Right Winger,24.0,"Korea, South",Paris Saint-Germain,€25.00m,UEFA,
Takefusa Kubo,Right Winger,24.0,Japan,Real Sociedad,€30.00m,UEFA,
Abdukodir Khusanov,Centre-Back,21.0,Uzbekistan,Manchester City,€35.00m,UEFA,
Akram Afif,Left Winger,28.0,Qatar,Al-Sadd SC,€8.00m,UEFA,
Wataru Endo,Defensive Midfield,32.0,Japan,Liverpool FC,€8.00m,UEFA,
Kanya Fujimoto,Attacking Midfield,26.0,Japan,Birmingham City,€4.00m,UEFA,
Jay Idzes,Centre-Back,25.0,Indonesia,Venezia FC,€7.50m,UEFA,
Wessam Abou Ali,Centre-Forward,26.0,Palestine,Al Ahly FC,€4.00m,UEFA,
Allahyar Sayyadmanesh,Left Winger,24.0,Iran,KVC Westerlo,€4.00m,UEFA,
Koki Saito,Left Winger,23.0,Japan,Lommel SK,€4.00m,UEFA,
Gláuber,Centre-Back,25.0,United Arab Emirates,Al-Nasr SC (UAE),€4.00m,UEFA,
Zidane Iqbal,Central Midfield,22.0,Iraq,FC Utrecht,€4.00m,UEFA,
Seiya Maikuma,Right-Back,27.0,Japan,AZ Alkmaar,€4.00m,UEFA,
Musab Al-Juwayr,Central Midfield,22.0,Saudi Arabia,Al-Hilal SFC,€4.00m,UEFA,
Nestory Irankunda,Right Winger,19.0,Australia,Watford FC,€4.00m,UEFA,
Kodai Sano,Central Midfield,21.0,Japan,NEC Nijmegen,€4.00m,UEFA,
Keita Kosugi,Left-Back,19.0,Japan,Djurgårdens IF,€4.00m,UEFA,
Caio Lucas,Left Winger,31.0,United Arab Emirates,Sharjah FC,€4.50m,UEFA,
Hamza Choudhury,Defensive Midfield,27.0,Bangladesh,Leicester City,€4.50m,UEFA,
Nicolás Giménez,Attacking Midfield,29.0,United Arab Emirates,Al-Wasl FC,€4.50m,UEFA,
Tatsuhiro Sakamoto,Right Midfield,28.0,Japan,Coventry City,€4.50m,UEFA,
Firas Al-Buraikan,Centre-Forward,25.0,Saudi Arabia,Al-Ahli SFC,€4.50m,UEFA,
Young-woo Seol,Right-Back,26.0,"Korea, South",Red Star Belgrade,€4.50m,UEFA,
Omar Khribin,Centre-Forward,31.0,Syria,Al-Wahda FC,€5.00m,UEFA,
Kevin Diks,Right-Back,28.0,Indonesia,Borussia Mönchengladbach,€5.00m,UEFA,
Eldor Shomurodov,Centre-Forward,30.0,Uzbekistan,Basaksehir FK,€5.00m,UEFA,
Mehdi Ghayedi,Left Winger,26.0,Iran,Al-Nasr SC (UAE),€5.00m,UEFA,
Luan Pereira,Central Midfield,25.0,United Arab Emirates,Sharjah FC,€5.00m,UEFA,
Shuto Machino,Centre-Forward,25.0,Japan,Holstein Kiel,€5.00m,UEFA,
Harry Souttar,Centre-Back,26.0,Australia,Leicester City,€6.00m,UEFA,
Junya Ito,Right Winger,32.0,Japan,Stade Reims,€6.00m,UEFA,
Mousa Tamari,Right Winger,28.0,Jordan,Stade Rennais FC,€6.00m,UEFA,
Fábio Lima,Attacking Midfield,32.0,United Arab Emirates,Al-Wasl FC,€6.50m,UEFA,
Mees Hilgers,Centre-Back,24.0,Indonesia,Twente Enschede FC,€6.50m,UEFA,
Oston Urunov,Left Winger,24.0,Uzbekistan,Persepolis FC,€2.00m,UEFA,
Hyeon-gyu Oh,Centre-Forward,24.0,"Korea, South",KRC Genk,€3.50m,UEFA,
Sultan Al-Ghannam,Right-Back,31.0,Saudi Arabia,Al-Nassr FC,€2.00m,UEFA,
Saad Al-Mousa,Centre-Back,22.0,Saudi Arabia,Al-Ittihad Club,€1.20m,UEFA,
Suphanat Mueanta,Centre-Forward,22.0,Thailand,Buriram United,€1.20m,UEFA,
Shunki Higashi,Left Midfield,24.0,Japan,Sanfrecce Hiroshima,€1.20m,UEFA,
Abdulla Idrees,Left-Back,25.0,United Arab Emirates,Al-Nasr SC (UAE),€1.20m,UEFA,
Mohanad Ali,Centre-Forward,25.0,Iraq,Al-Shorta SC,€1.20m,UEFA,
Sherzod Nasrullaev,Left-Back,27.0,Uzbekistan,Nasaf Qarshi,€1.20m,UEFA,
Oumar Traoré,Right Winger,23.0,United Arab Emirates,Al-Jazira Club,€1.20m,UEFA,
Tomoya Miki,Attacking Midfield,27.0,Japan,Avispa Fukuoka,€1.20m,UEFA,
Sota Kawasaki,Defensive Midfield,23.0,Japan,1.FSV Mainz 05,€1.20m,UEFA,
Ayman Yahya,Right Winger,24.0,Saudi Arabia,Al-Nassr FC,€1.20m,UEFA,
Shuto Nakano,Right-Back,25.0,Japan,Sanfrecce Hiroshima,€1.20m,UEFA,
Takuto Oshima,Defensive Midfield,27.0,Japan,FC Noah Yerevan,€1.20m,UEFA,
Vinicius Mello,Centre-Forward,22.0,United Arab Emirates,Al-Jazira Club,€1.20m,UEFA,
Keisuke Goto,Centre-Forward,20.0,Japan,RSCA Futures,€1.20m,UEFA,
Aria Yousefi,Right-Back,23.0,Iran,Sepahan FC,€1.20m,UEFA,
Mohammad Ghorbani,Defensive Midfield,24.0,Iran,Al-Wahda FC,€1.30m,UEFA,
Hiroki Sekine,Right-Back,22.0,Japan,Stade Reims,€1.20m,UEFA,
Saeed Ezatolahi,Defensive Midfield,28.0,Iran,Shabab Al-Ahli Club,€1.30m,UEFA,
Majid Hosseini,Centre-Back,29.0,Iran,Kayserispor,€1.30m,UEFA,
Ryoma Watanabe,Attacking Midfield,28.0,Japan,Urawa Red Diamonds,€1.30m,UEFA,
Tetsushi Yamakawa,Centre-Back,27.0,Japan,Vissel Kobe,€1.30m,UEFA,
Taisei Miyashiro,Centre-Forward,25.0,Japan,Vissel Kobe,€1.30m,UEFA,
Takuma Ominami,Centre-Back,27.0,Japan,Oud-Heverlee Leuven,€1.30m,UEFA,
Taiyo Koga,Centre-Back,26.0,Japan,Kashiwa Reysol,€1.30m,UEFA,
Abdalla Ramadan,Central Midfield,27.0,United Arab Emirates,Al-Jazira Club,€1.30m,UEFA,
Seyed Mohammad Karimi,Central Midfield,29.0,Iran,Sepahan FC,€1.30m,UEFA,
Aimar Sher,Central Midfield,22.0,Iraq,Sarpsborg 08 FF,€1.30m,UEFA,
Ikuma Sekigawa,Centre-Back,24.0,Japan,Kashima Antlers,€1.30m,UEFA,
Satoshi Tanaka,Defensive Midfield,22.0,Japan,Sanfrecce Hiroshima,€1.30m,UEFA,
Agustín Manzur,Central Midfield,24.0,Palestine,Club Guaraní,€1.20m,UEFA,
Oday Dabbagh,Centre-Forward,26.0,Palestine,Royal Charleroi SC,€1.20m,UEFA,
Riku Handa,Right-Back,23.0,Japan,Gamba Osaka,€1.20m,UEFA,
Abdulelah Al-Amri,Centre-Back,28.0,Saudi Arabia,Al-Nassr FC,€1.20m,UEFA,
Jalil Elías,Defensive Midfield,29.0,Syria,Without Club,€2.00m,UEFA,
Hayato Tanaka,Centre-Back,21.0,Japan,Kashiwa Reysol,€1.00m,UEFA,
Zayed Sultan,Right-Back,24.0,United Arab Emirates,Al-Nasr SC (UAE),€1.00m,UEFA,
Mehdi Limouchi,Left Winger,25.0,Iran,Sepahan FC,€1.00m,UEFA,
Jehad Thakri,Centre-Back,24.0,Saudi Arabia,Al-Qadsiah FC,€1.00m,UEFA,
Yu Hirakawa,Right Winger,24.0,Japan,Bristol City,€1.00m,UEFA,
Nectarios Triantis,Defensive Midfield,22.0,Australia,Sunderland AFC,€1.00m,UEFA,
Saeed Saharkhizan,Centre-Forward,22.0,Iran,FC Orenburg,€1.00m,UEFA,
Reza Ghandipour,Centre-Forward,19.0,Iran,Shabab Al-Ahli Club,€1.00m,UEFA,
Marwan Al-Sahafi,Left Winger,21.0,Saudi Arabia,Al-Ittihad Club,€1.00m,UEFA,
Sékou Gassama,Attacking Midfield,24.0,United Arab Emirates,Kalba FC,€1.00m,UEFA,
Mohammed Abu Al-Shamat,Right-Back,22.0,Saudi Arabia,Al-Qadsiah FC,€1.00m,UEFA,
Ali Mabkhout,Centre-Forward,34.0,United Arab Emirates,Al-Nasr SC (UAE),€1.20m,UEFA,
Sasa Ivkovic,Centre-Back,32.0,United Arab Emirates,Al-Wahda FC,€1.20m,UEFA,
Tim Chow,Defensive Midfield,31.0,Chinese Taipei,Chengdu Rongcheng,€1.20m,UEFA,
Muhannad Shanqeeti,Right-Back,26.0,Saudi Arabia,Al-Ittihad Club,€1.20m,UEFA,
Ali Alipour,Centre-Forward,29.0,Iran,Persepolis FC,€1.20m,UEFA,
Odildzhon Khamrobekov,Defensive Midfield,29.0,Uzbekistan,Tractor FC,€1.20m,UEFA,
Milad Mohammadi,Left-Back,31.0,Iran,Persepolis FC,€1.20m,UEFA,
Yuta Nakayama,Centre-Back,28.0,Japan,Machida Zelvia,€1.20m,UEFA,
Shahriar Moghanlou,Centre-Forward,30.0,Iran,Kalba FC,€1.20m,UEFA,
Ole Romeny,Centre-Forward,25.0,Indonesia,Oxford United,€1.20m,UEFA,
Yong-woo Park,Defensive Midfield,31.0,"Korea, South",Al-Ain FC,€1.20m,UEFA,
Kye Rowles,Centre-Back,27.0,Australia,D.C. United,€1.20m,UEFA,
Khalid Hashemi,Centre-Back,28.0,United Arab Emirates,FC Baniyas,€1.20m,UEFA,
Ammar Ramadan,Left Winger,24.0,Syria,DAC Dunajska Streda,€1.20m,UEFA,
Taichi Hara,Centre-Forward,26.0,Japan,Kyoto Sanga,€1.20m,UEFA,
Nawaf Al-Boushal,Left-Back,25.0,Saudi Arabia,Al-Nassr FC,€1.30m,UEFA,
Bong-soo Kim,Central Midfield,25.0,"Korea, South",Daejeon Hana Citizen,€1.00m,UEFA,
Hayden Matthews,Centre-Back,21.0,Australia,Portsmouth FC,€1.30m,UEFA,
Hayato Araki,Centre-Back,28.0,Japan,Sanfrecce Hiroshima,€1.70m,UEFA,
Hyun-ju Lee,Attacking Midfield,22.0,"Korea, South",FC Bayern Munich II,€1.50m,UEFA,
Takahiro Akimoto,Left-Back,27.0,Japan,Oud-Heverlee Leuven,€1.50m,UEFA,
Yazan Al-Naimat,Centre-Forward,26.0,Jordan,Al-Arabi SC,€1.50m,UEFA,
Max Balard,Defensive Midfield,24.0,Australia,NAC Breda,€1.50m,UEFA,
Faisal Al-Ghamdi,Central Midfield,23.0,Saudi Arabia,Al-Ittihad Club,€1.50m,UEFA,
Yudong Wang,Left Winger,18.0,China,Zhejiang FC,€1.50m,UEFA,
Seung-hyun Jung,Centre-Back,31.0,"Korea, South",Ulsan HD FC,€1.60m,UEFA,
Hassan Tambakti,Centre-Back,26.0,Saudi Arabia,Al-Hilal SFC,€1.60m,UEFA,
Khalifa Al-Hammadi,Centre-Back,26.0,United Arab Emirates,Al-Jazira Club,€1.60m,UEFA,
Serginho,Attacking Midfield,30.0,China,Beijing Guoan,€1.70m,UEFA,
Keisuke Osako,Goalkeeper,25.0,Japan,Sanfrecce Hiroshima,€1.70m,UEFA,
Takumu Kawamura,Defensive Midfield,25.0,Japan,Red Bull Salzburg,€1.70m,UEFA,
Khusniddin Alikulov,Centre-Back,26.0,Uzbekistan,Caykur Rizespor,€1.70m,UEFA,
Hossein Kanaani,Centre-Back,31.0,Iran,Persepolis FC,€1.80m,UEFA,
Takuro Kaneko,Right Winger,27.0,Japan,Urawa Red Diamonds,€1.50m,UEFA,
Otabek Shukurov,Central Midfield,29.0,Uzbekistan,Without Club,€1.80m,UEFA,
Ahmad Noorollahi,Central Midfield,32.0,Iran,Kalba FC,€1.80m,UEFA,
Tomoki Iwata,Defensive Midfield,28.0,Japan,Birmingham City,€1.80m,UEFA,
Daiki Hashioka,Right-Back,26.0,Japan,SK Slavia Prague,€1.80m,UEFA,
Maarten Paes,Goalkeeper,27.0,Indonesia,FC Dallas,€1.80m,UEFA,
Ali Madan,Right Winger,29.0,Bahrain,Al-Riffa SC,€1.80m,UEFA,
Majid Rashid,Defensive Midfield,25.0,United Arab Emirates,Sharjah FC,€1.80m,UEFA,
Dean James,Left-Back,25.0,Indonesia,Go Ahead Eagles,€1.80m,UEFA,
Yu-min Cho,Centre-Back,28.0,"Korea, South",Sharjah FC,€1.80m,UEFA,
Yuki Ohashi,Centre-Forward,28.0,Japan,Blackburn Rovers,€1.80m,UEFA,
Jackson Irvine,Central Midfield,32.0,Australia,FC St. Pauli,€2.00m,UEFA,
Gastón Álvarez Suarez,Central Midfield,32.0,United Arab Emirates,Shabab Al-Ahli Club,€2.00m,UEFA,
Cameron Burgess,Centre-Back,29.0,Australia,Swansea City,€2.00m,UEFA,
Mao Hosoya,Centre-Forward,23.0,Japan,Kashiwa Reysol,€1.50m,UEFA,
Guilherme Bala,Left Winger,23.0,United Arab Emirates,Shabab Al-Ahli Club,€1.00m,UEFA,
Khozhimat Erkinov,Left Winger,24.0,Uzbekistan,Pakhtakor Tashkent,€1.50m,UEFA,
Mehdi Torabi,Left Winger,30.0,Iran,Tractor FC,€1.50m,UEFA,
Alex Robertson,Central Midfield,22.0,Australia,Cardiff City,€1.50m,UEFA,
Yasuto Wakizaka,Central Midfield,30.0,Japan,Kawasaki Frontale,€1.40m,UEFA,
Dong-gyeong Lee,Attacking Midfield,27.0,"Korea, South",Gimcheon Sangmu,€1.40m,UEFA,
Shunta Tanaka,Defensive Midfield,28.0,Japan,Cerezo Osaka,€1.40m,UEFA,
Ji-sung Eom,Left Winger,23.0,"Korea, South",Swansea City,€1.40m,UEFA,
Leandro Spadacio,Attacking Midfield,25.0,United Arab Emirates,Kalba FC,€1.40m,UEFA,
Abdulrahman Ghareeb,Left Winger,28.0,Saudi Arabia,Al-Nassr FC,€1.50m,UEFA,
Yuya Kubo,Attacking Midfield,31.0,Japan,FC Cincinnati,€1.50m,UEFA,
Saman Ghoddos,Attacking Midfield,31.0,Iran,Kalba FC,€1.50m,UEFA,
Alireza Jahanbakhsh,Right Winger,31.0,Iran,Without Club,€1.50m,UEFA,
Jaloliddin Masharipov,Left Winger,31.0,Uzbekistan,Esteghlal FC,€1.50m,UEFA,
Shinnosuke Nakatani,Centre-Back,29.0,Japan,Gamba Osaka,€1.50m,UEFA,
Seung-ho Paik,Central Midfield,28.0,"Korea, South",Birmingham City,€1.50m,UEFA,
Salem Al-Dawsari,Left Winger,33.0,Saudi Arabia,Al-Hilal SFC,€1.50m,UEFA,
Koji Miyoshi,Right Midfield,28.0,Japan,VfL Bochum,€1.50m,UEFA,
Nacho Méndez,Central Midfield,27.0,Malaysia,Johor Darul Ta'zim,€1.50m,UEFA,
Ado Onaiwu,Centre-Forward,29.0,Japan,AJ Auxerre,€1.50m,UEFA,
Joe Gauci,Goalkeeper,25.0,Australia,Aston Villa,€1.50m,UEFA,
Akmal Mozgovoy,Central Midfield,26.0,Uzbekistan,FC Baniyas,€1.50m,UEFA,
Amirhossein Hosseinzadeh,Centre-Forward,24.0,Iran,Tractor FC,€1.50m,UEFA,
Abduvokhid Nematov,Goalkeeper,24.0,Uzbekistan,Nasaf Qarshi,€1.50m,UEFA,
Facundo Mater,Right Midfield,27.0,Syria,CA Barracas Central,€1.50m,UEFA,
Rustam Yatimov,Goalkeeper,27.0,Tajikistan,FC Rostov,€1.50m,UEFA,
Yuki Soma,Right Winger,28.0,Japan,Machida Zelvia,€1.50m,UEFA,
Miki Yamane,Right-Back,31.0,Japan,Los Angeles Galaxy,€1.50m,UEFA,
Ryoya Ogawa,Left-Back,28.0,Japan,Kashima Antlers,€1.50m,UEFA,
Raphael Obermair,Right Midfield,29.0,Philippines,SC Paderborn 07,€1.50m,UEFA,
Mikel Merino,Central Midfield,29.0,Spain,Arsenal FC,€35.00m,OFC,
Marc Cucurella,Left-Back,27.0,Spain,Chelsea FC,€35.00m,OFC,
Denzel Dumfries,Right-Back,29.0,Netherlands,Inter Milan,€35.00m,OFC,
Vangelis Pavlidis,Centre-Forward,26.0,Greece,SL Benfica,€35.00m,OFC,
Justin Kluivert,Attacking Midfield,26.0,Netherlands,AFC Bournemouth,€35.00m,OFC,
Jonathan Burkardt,Centre-Forward,25.0,Germany,Eintracht Frankfurt,€35.00m,OFC,
Davide Frattesi,Central Midfield,25.0,Italy,Inter Milan,€35.00m,OFC,
Theo Hernández,Left-Back,27.0,France,Al-Hilal SFC,€35.00m,OFC,
Christopher Nkunku,Centre-Forward,27.0,France,Chelsea FC,€35.00m,OFC,
Dušan Vlahović,Centre-Forward,25.0,Serbia,Juventus FC,€35.00m,OFC,
Teun Koopmeiners,Attacking Midfield,27.0,Netherlands,Juventus FC,€35.00m,OFC,
Dan Ndoye,Right Winger,24.0,Switzerland,Bologna FC 1909,€35.00m,OFC,
António Silva,Centre-Back,21.0,Portugal,SL Benfica,€32.00m,OFC,
Lewis Hall,Left-Back,20.0,England,Newcastle United,€32.00m,OFC,
Jesús Rodríguez,Left Winger,19.0,Spain,Como 1907,€30.00m,OFC,
Georgiy Sudakov,Attacking Midfield,22.0,Ukraine,Shakhtar Donetsk,€32.00m,OFC,
Ardon Jashari,Defensive Midfield,22.0,Switzerland,Club Brugge KV,€32.00m,OFC,
Jan Paul van Hecke,Centre-Back,25.0,Netherlands,Brighton & Hove Albion,€32.00m,OFC,
Elliot Anderson,Central Midfield,22.0,England,Nottingham Forest,€32.00m,OFC,
Georginio Rutter,Centre-Forward,23.0,France,Brighton & Hove Albion,€32.00m,OFC,
Tomás Araújo,Centre-Back,23.0,Portugal,SL Benfica,€32.00m,OFC,
Jacob Ramsey,Left Midfield,24.0,England,Aston Villa,€32.00m,OFC,
Josip Stanisic,Right-Back,25.0,Croatia,Bayern Munich,€32.00m,OFC,
Mattéo Guendouzi,Central Midfield,26.0,France,SS Lazio,€32.00m,OFC,
Pau Torres,Centre-Back,28.0,Spain,Aston Villa,€32.00m,OFC,
Guglielmo Vicario,Goalkeeper,28.0,Italy,Tottenham Hotspur,€32.00m,OFC,
Leroy Sané,Right Winger,29.0,Germany,Galatasaray,€32.00m,OFC,
Francisco Trincão,Right Winger,25.0,Portugal,Sporting CP,€35.00m,OFC,
Harvey Barnes,Left Winger,27.0,England,Newcastle United,€35.00m,OFC,
Jorrel Hato,Left-Back,19.0,Netherlands,Ajax Amsterdam,€35.00m,OFC,
Ezri Konsa,Centre-Back,27.0,England,Aston Villa,€35.00m,OFC,
Matthijs de Ligt,Centre-Back,25.0,Netherlands,Manchester United,€38.00m,OFC,
Nico Schlotterbeck,Centre-Back,25.0,Germany,Borussia Dortmund,€40.00m,OFC,
Diogo Costa,Goalkeeper,25.0,Portugal,FC Porto,€40.00m,OFC,
Robin Le Normand,Centre-Back,28.0,Spain,Atlético de Madrid,€40.00m,OFC,
Fabián Ruiz,Central Midfield,29.0,Spain,Paris Saint-Germain,€40.00m,OFC,
Ollie Watkins,Centre-Forward,29.0,England,Aston Villa,€40.00m,OFC,
Gianluigi Donnarumma,Goalkeeper,26.0,Italy,Paris Saint-Germain,€40.00m,OFC,
Jarrod Bowen,Right Winger,28.0,England,West Ham United,€40.00m,OFC,
David Raya,Goalkeeper,29.0,Spain,Arsenal FC,€40.00m,OFC,
Dominic Solanke,Centre-Forward,27.0,England,Tottenham Hotspur,€40.00m,OFC,
Gregor Kobel,Goalkeeper,27.0,Switzerland,Borussia Dortmund,€40.00m,OFC,
Archie Gray,Defensive Midfield,19.0,England,Tottenham Hotspur,€38.00m,OFC,
Lucas Bergvall,Central Midfield,19.0,Sweden,Tottenham Hotspur,€38.00m,OFC,
Pedro Porro,Right-Back,25.0,Spain,Tottenham Hotspur,€38.00m,OFC,
Youri Tielemans,Central Midfield,28.0,Belgium,Aston Villa,€38.00m,OFC,
Nikola Milenković,Centre-Back,27.0,Serbia,Nottingham Forest,€35.00m,OFC,
Bernardo Silva,Attacking Midfield,30.0,Portugal,Manchester City,€38.00m,OFC,
Tom Bischof,Central Midfield,20.0,Germany,Bayern Munich,€30.00m,OFC,
Álvaro Carreras,Left-Back,22.0,Spain,Real Madrid,€35.00m,OFC,
Mathys Tel,Centre-Forward,20.0,France,Tottenham Hotspur,€35.00m,OFC,
Malo Gusto,Right-Back,22.0,France,Chelsea FC,€35.00m,OFC,
Rasmus Højlund,Centre-Forward,22.0,Denmark,Manchester United,€35.00m,OFC,
Matheus Nunes,Central Midfield,26.0,Portugal,Manchester City,€35.00m,OFC,
Giorgio Scalvini,Centre-Back,21.0,Italy,Atalanta BC,€35.00m,OFC,
Enzo Millot,Attacking Midfield,23.0,France,VfB Stuttgart,€35.00m,OFC,
Riccardo Calafiori,Left-Back,23.0,Italy,Arsenal FC,€35.00m,OFC,
Andrea Cambiaso,Left-Back,25.0,Italy,Juventus FC,€35.00m,OFC,
Yann Bisseck,Centre-Back,24.0,Germany,Inter Milan,€35.00m,OFC,
Charles De Ketelaere,Attacking Midfield,24.0,Belgium,Atalanta BC,€35.00m,OFC,
Mikel Jauregizar,Central Midfield,21.0,Spain,Athletic Bilbao,€30.00m,OFC,
Isak Hien,Centre-Back,26.0,Sweden,Atalanta BC,€30.00m,OFC,
Malick Fofana,Left Winger,20.0,Belgium,Olympique Lyon,€30.00m,OFC,
Denis Zakaria,Defensive Midfield,28.0,Switzerland,AS Monaco,€30.00m,OFC,
João Palhinha,Defensive Midfield,30.0,Portugal,Bayern Munich,€30.00m,OFC,
Kingsley Coman,Left Winger,29.0,France,Bayern Munich,€30.00m,OFC,
Jonathan Tah,Centre-Back,29.0,Germany,Bayern Munich,€30.00m,OFC,
Alejandro Grimaldo,Left-Back,29.0,Spain,Bayer 04 Leverkusen,€30.00m,OFC,
Hakan Çalhanoğlu,Defensive Midfield,31.0,Türkiye,Inter Milan,€30.00m,OFC,
Ayyoub Bouaddi,Central Midfield,17.0,France,LOSC Lille,€28.00m,OFC,
Antonio Nusa,Left Winger,20.0,Norway,RB Leipzig,€28.00m,OFC,
Toti,Centre-Back,26.0,Portugal,Wolverhampton Wanderers,€28.00m,OFC,
Pierre Kalulu,Centre-Back,25.0,France,Juventus FC,€28.00m,OFC,
Mikkel Damsgaard,Attacking Midfield,25.0,Denmark,Brentford FC,€28.00m,OFC,
Anatoliy Trubin,Goalkeeper,23.0,Ukraine,SL Benfica,€28.00m,OFC,
Francisco Conceição,Right Winger,22.0,Portugal,Juventus FC,€28.00m,OFC,
Ian Maatsen,Left-Back,23.0,Netherlands,Aston Villa,€28.00m,OFC,
Kenneth Taylor,Central Midfield,23.0,Netherlands,Ajax Amsterdam,€28.00m,OFC,
Nathan Collins,Centre-Back,24.0,Ireland,Brentford FC,€28.00m,OFC,
Bafodé Diakité,Centre-Back,24.0,France,LOSC Lille,€28.00m,OFC,
Sam Beukema,Centre-Back,26.0,Netherlands,SSC Napoli,€28.00m,OFC,
Lewis Ferguson,Central Midfield,25.0,Scotland,Bologna FC 1909,€28.00m,OFC,
Jakub Kiwior,Centre-Back,25.0,Poland,Arsenal FC,€28.00m,OFC,
Felix Nmecha,Central Midfield,24.0,Germany,Borussia Dortmund,€28.00m,OFC,
Vitaliy Mykolenko,Left-Back,26.0,Ukraine,Everton FC,€28.00m,OFC,
Jadon Sancho,Left Winger,25.0,England,Manchester United,€28.00m,OFC,
Mason Mount,Attacking Midfield,26.0,England,Manchester United,€28.00m,OFC,
Manuel Akanji,Centre-Back,30.0,Switzerland,Manchester City,€28.00m,OFC,
Unai Simón,Goalkeeper,28.0,Spain,Athletic Bilbao,€28.00m,OFC,
Jack Grealish,Left Winger,29.0,England,Manchester City,€28.00m,OFC,
Joachim Andersen,Centre-Back,29.0,Denmark,Fulham FC,€27.00m,OFC,
Manuel Locatelli,Defensive Midfield,27.0,Italy,Juventus FC,€30.00m,OFC,
Artem Dovbyk,Centre-Forward,28.0,Ukraine,AS Roma,€30.00m,OFC,
