name,position,age,nation,club,value,confederation,league
Aiham Ousou,Centre-Back,25,Syria,Royal Charleroi SC,€2.50m,UEFA,
Daisuke Yokota,Right Winger,25,Japan,KAA Gent,€2.50m,UEFA,
Ali Al-Hamadi,Centre-Forward,23,Iraq,Ipswich Town,€2.50m,UEFA,
Gue-sung Cho,Centre-Forward,27,"Korea, South",FC Midtjylland,€3.50m,UEFA,
Min-hyeok Yang,Right Winger,19,"Korea, South",Tottenham Hotspur,€3.50m,UEFA,
Woo-yeong Jeong,Attacking Midfield,25,"Korea, South",1.FC Union Berlin,€4.00m,UEFA,
Sardar Azmoun,Centre-Forward,30,Iran,Shabab Al-Ahli Club,€8.00m,UEFA,
Keito Nakamura,Left Winger,24,Japan,Stade Reims,€8.00m,UEFA,
Ayase Ueda,Centre-Forward,26,Japan,Feyenoord Rotterdam,€8.00m,UEFA,
Abbosbek Fayzullaev,Attacking Midfield,21,Uzbekistan,CSKA Moscow,€8.00m,UEFA,
Alessandro Circati,Centre-Back,21,Australia,Parma Calcio 1913,€8.00m,UEFA,
Kyogo Furuhashi,Centre-Forward,30,Japan,Birmingham City,€9.00m,UEFA,
Tsuyoshi Watanabe,Centre-Back,28,Japan,Feyenoord Rotterdam,€9.00m,UEFA,
In-beom Hwang,Central Midfield,28,"Korea, South",Feyenoord Rotterdam,€10.00m,UEFA,
Ao Tanaka,Defensive Midfield,26,Japan,Leeds United,€10.00m,UEFA,
Yuito Suzuki,Attacking Midfield,23,Japan,SC Freiburg,€10.00m,UEFA,
Yukinari Sugawara,Right-Back,25,Japan,Southampton FC,€11.00m,UEFA,
Koki Machida,Centre-Back,27,Japan,TSG 1899 Hoffenheim,€11.00m,UEFA,
Hee-chan Hwang,Centre-Forward,29,"Korea, South",Wolverhampton Wanderers,€12.00m,UEFA,
Ko Itakura,Centre-Back,28,Japan,Borussia Mönchengladbach,€12.00m,UEFA,
Daichi Kamada,Attacking Midfield,28,Japan,Crystal Palace,€12.00m,UEFA,
Reo Hatate,Central Midfield,27,Japan,Celtic FC,€13.00m,UEFA,
Hidemasa Morita,Central Midfield,30,Japan,Sporting CP,€13.00m,UEFA,
Takumi Minamino,Left Winger,30,Japan,AS Monaco,€15.00m,UEFA,
Daizen Maeda,Left Winger,27,Japan,Celtic FC,€15.00m,UEFA,
Takehiro Tomiyasu,Right-Back,26,Japan,Without Club,€18.00m,UEFA,
Heung-min Son,Left Winger,33,"Korea, South",Tottenham Hotspur,€20.00m,UEFA,
Zion Suzuki,Goalkeeper,22,Japan,Parma Calcio 1913,€20.00m,UEFA,
Kaishu Sano,Defensive Midfield,24,Japan,1.FSV Mainz 05,€20.00m,UEFA,
Hiroki Ito,Centre-Back,26,Japan,Bayern Munich,€25.00m,UEFA,
Ritsu Doan,Right Winger,27,Japan,SC Freiburg,€25.00m,UEFA,
Kang-in Lee,Right Winger,24,"Korea, South",Paris Saint-Germain,€25.00m,UEFA,
Takefusa Kubo,Right Winger,24,Japan,Real Sociedad,€30.00m,UEFA,
Abdukodir Khusanov,Centre-Back,21,Uzbekistan,Manchester City,€35.00m,UEFA,
Akram Afif,Left Winger,28,Qatar,Al-Sadd SC,€8.00m,UEFA,
Wataru Endo,Defensive Midfield,32,Japan,Liverpool FC,€8.00m,UEFA,
Kanya Fujimoto,Attacking Midfield,26,Japan,Birmingham City,€4.00m,UEFA,
Jay Idzes,Centre-Back,25,Indonesia,Venezia FC,€7.50m,UEFA,
Wessam Abou Ali,Centre-Forward,26,Palestine,Columbus Crew,€4.00m,UEFA,
Allahyar Sayyadmanesh,Left Winger,24,Iran,KVC Westerlo,€4.00m,UEFA,
Koki Saito,Left Winger,23,Japan,Lommel SK,€4.00m,UEFA,
Glauber,Centre-Back,25,United Arab Emirates,Al-Nasr SC (UAE),€4.00m,UEFA,
Zidane Iqbal,Central Midfield,22,Iraq,FC Utrecht,€4.00m,UEFA,
Seiya Maikuma,Right-Back,27,Japan,AZ Alkmaar,€4.00m,UEFA,
Musab Al-Juwayr,Central Midfield,22,Saudi Arabia,Al-Hilal SFC,€4.00m,UEFA,
Nestory Irankunda,Right Winger,19,Australia,Watford FC,€4.00m,UEFA,
Kodai Sano,Central Midfield,21,Japan,NEC Nijmegen,€4.00m,UEFA,
Keita Kosugi,Left-Back,19,Japan,Djurgårdens IF,€4.00m,UEFA,
Caio Lucas,Left Winger,31,United Arab Emirates,Sharjah FC,€4.50m,UEFA,
Hamza Choudhury,Defensive Midfield,27,Bangladesh,Leicester City,€4.50m,UEFA,
Nicolas Gimenez,Attacking Midfield,29,United Arab Emirates,Al-Wasl FC,€4.50m,UEFA,
Tatsuhiro Sakamoto,Right Midfield,28,Japan,Coventry City,€4.50m,UEFA,
Firas Al-Buraikan,Centre-Forward,25,Saudi Arabia,Al-Ahli SFC,€4.50m,UEFA,
Young-woo Seol,Right-Back,26,"Korea, South",Red Star Belgrade,€4.50m,UEFA,
Omar Khribin,Centre-Forward,31,Syria,Al-Wahda FC,€5.00m,UEFA,
Kevin Diks,Right-Back,28,Indonesia,Borussia Mönchengladbach,€5.00m,UEFA,
Eldor Shomurodov,Centre-Forward,30,Uzbekistan,Basaksehir FK,€5.00m,UEFA,
Mehdi Ghayedi,Left Winger,26,Iran,Al-Nasr SC (UAE),€5.00m,UEFA,
Luan Pereira,Central Midfield,25,United Arab Emirates,Sharjah FC,€5.00m,UEFA,
Shuto Machino,Centre-Forward,25,Japan,Borussia Mönchengladbach,€5.00m,UEFA,
Harry Souttar,Centre-Back,26,Australia,Leicester City,€6.00m,UEFA,
Junya Ito,Right Winger,32,Japan,Stade Reims,€6.00m,UEFA,
Mousa Tamari,Right Winger,28,Jordan,Stade Rennais FC,€6.00m,UEFA,
Fabio Lima,Attacking Midfield,32,United Arab Emirates,Al-Wasl FC,€6.50m,UEFA,
Mees Hilgers,Centre-Back,24,Indonesia,Twente Enschede FC,€6.50m,UEFA,
Oston Urunov,Left Winger,24,Uzbekistan,Persepolis FC,€2.00m,UEFA,
Hyeon-gyu Oh,Centre-Forward,24,"Korea, South",KRC Genk,€3.50m,UEFA,
Sultan Al-Ghannam,Right-Back,31,Saudi Arabia,Al-Nassr FC,€2.00m,UEFA,
Saad Al-Mousa,Centre-Back,22,Saudi Arabia,Al-Ittihad Club,€1.20m,UEFA,
Suphanat Mueanta,Centre-Forward,22,Thailand,Buriram United,€1.20m,UEFA,
Shunki Higashi,Left Midfield,24,Japan,Sanfrecce Hiroshima,€1.20m,UEFA,
Abdulla Idrees,Left-Back,25,United Arab Emirates,Al-Nasr SC (UAE),€1.20m,UEFA,
Mohanad Ali,Centre-Forward,25,Iraq,Al-Shorta SC,€1.20m,UEFA,
Sherzod Nasrullaev,Left-Back,27,Uzbekistan,Nasaf Qarshi,€1.20m,UEFA,
Oumar Traore,Right Winger,23,United Arab Emirates,Al-Jazira Club,€1.20m,UEFA,
Tomoya Miki,Attacking Midfield,27,Japan,Avispa Fukuoka,€1.20m,UEFA,
Sota Kawasaki,Defensive Midfield,23,Japan,1.FSV Mainz 05,€1.20m,UEFA,
Ayman Yahya,Right Winger,24,Saudi Arabia,Al-Nassr FC,€1.20m,UEFA,
Shuto Nakano,Right-Back,25,Japan,Sanfrecce Hiroshima,€1.20m,UEFA,
Takuto Oshima,Defensive Midfield,27,Japan,FC Noah Yerevan,€1.20m,UEFA,
Vinicius Mello,Centre-Forward,22,United Arab Emirates,Al-Jazira Club,€1.20m,UEFA,
Keisuke Goto,Centre-Forward,20,Japan,RSCA Futures,€1.20m,UEFA,
Aria Yousefi,Right-Back,23,Iran,Sepahan FC,€1.20m,UEFA,
Mohammad Ghorbani,Defensive Midfield,24,Iran,Al-Wahda FC,€1.30m,UEFA,
Hiroki Sekine,Right-Back,22,Japan,Stade Reims,€1.20m,UEFA,
Saeed Ezatolahi,Defensive Midfield,28,Iran,Shabab Al-Ahli Club,€1.30m,UEFA,
Majid Hosseini,Centre-Back,29,Iran,Kayserispor,€1.30m,UEFA,
Ryoma Watanabe,Attacking Midfield,28,Japan,Urawa Red Diamonds,€1.30m,UEFA,
Tetsushi Yamakawa,Centre-Back,27,Japan,Vissel Kobe,€1.30m,UEFA,
Taisei Miyashiro,Centre-Forward,25,Japan,Vissel Kobe,€1.30m,UEFA,
Takuma Ominami,Centre-Back,27,Japan,Oud-Heverlee Leuven,€1.30m,UEFA,
Taiyo Koga,Centre-Back,26,Japan,Kashiwa Reysol,€1.30m,UEFA,
Abdalla Ramadan,Central Midfield,27,United Arab Emirates,Al-Jazira Club,€1.30m,UEFA,
Seyed Mohammad Karimi,Central Midfield,29,Iran,Sepahan FC,€1.30m,UEFA,
Aimar Sher,Central Midfield,22,Iraq,Sarpsborg 08 FF,€1.30m,UEFA,
Ikuma Sekigawa,Centre-Back,24,Japan,Kashima Antlers,€1.30m,UEFA,
Satoshi Tanaka,Defensive Midfield,22,Japan,Sanfrecce Hiroshima,€1.30m,UEFA,
Agustin Manzur,Central Midfield,24,Palestine,Club Guaraní,€1.20m,UEFA,
Oday Dabbagh,Centre-Forward,26,Palestine,Royal Charleroi SC,€1.20m,UEFA,
Riku Handa,Right-Back,23,Japan,Gamba Osaka,€1.20m,UEFA,
Abdulelah Al-Amri,Centre-Back,28,Saudi Arabia,Al-Nassr FC,€1.20m,UEFA,
Jalil Elias,Defensive Midfield,29,Syria,Without Club,€2.00m,UEFA,
Hayato Tanaka,Centre-Back,21,Japan,Kashiwa Reysol,€1.00m,UEFA,
Zayed Sultan,Right-Back,24,United Arab Emirates,Al-Nasr SC (UAE),€1.00m,UEFA,
Mehdi Limouchi,Left Winger,25,Iran,Sepahan FC,€1.00m,UEFA,
Jehad Thakri,Centre-Back,24,Saudi Arabia,Al-Qadsiah FC,€1.00m,UEFA,
Yu Hirakawa,Right Winger,24,Japan,Bristol City,€1.00m,UEFA,
Nectarios Triantis,Defensive Midfield,22,Australia,Sunderland AFC,€1.00m,UEFA,
Saeed Saharkhizan,Centre-Forward,22,Iran,FC Orenburg,€1.00m,UEFA,
Reza Ghandipour,Centre-Forward,19,Iran,Shabab Al-Ahli Club,€1.00m,UEFA,
Marwan Al-Sahafi,Left Winger,21,Saudi Arabia,Al-Ittihad Club,€1.00m,UEFA,
Sekou Gassama,Attacking Midfield,24,United Arab Emirates,Kalba FC,€1.00m,UEFA,
Mohammed Abu Al-Shamat,Right-Back,22,Saudi Arabia,Al-Qadsiah FC,€1.00m,UEFA,
Ali Mabkhout,Centre-Forward,34,United Arab Emirates,Al-Nasr SC (UAE),€1.20m,UEFA,
Sasa Ivkovic,Centre-Back,32,United Arab Emirates,Al-Wahda FC,€1.20m,UEFA,
Tim Chow,Defensive Midfield,31,Chinese Taipei,Chengdu Rongcheng,€1.20m,UEFA,
Muhannad Shanqeeti,Right-Back,26,Saudi Arabia,Al-Ittihad Club,€1.20m,UEFA,
Ali Alipour,Centre-Forward,29,Iran,Persepolis FC,€1.20m,UEFA,
Odildzhon Khamrobekov,Defensive Midfield,29,Uzbekistan,Tractor FC,€1.20m,UEFA,
Milad Mohammadi,Left-Back,31,Iran,Persepolis FC,€1.20m,UEFA,
Yuta Nakayama,Centre-Back,28,Japan,Machida Zelvia,€1.20m,UEFA,
Shahriar Moghanlou,Centre-Forward,30,Iran,Kalba FC,€1.20m,UEFA,
Ole Romeny,Centre-Forward,25,Indonesia,Oxford United,€1.20m,UEFA,
Yong-woo Park,Defensive Midfield,31,"Korea, South",Al-Ain FC,€1.20m,UEFA,
Kye Rowles,Centre-Back,27,Australia,D.C. United,€1.20m,UEFA,
Khalid Hashemi,Centre-Back,28,United Arab Emirates,FC Baniyas,€1.20m,UEFA,
Ammar Ramadan,Left Winger,24,Syria,DAC Dunajska Streda,€1.20m,UEFA,
Taichi Hara,Centre-Forward,26,Japan,Kyoto Sanga,€1.20m,UEFA,
Nawaf Al-Boushal,Left-Back,25,Saudi Arabia,Al-Nassr FC,€1.30m,UEFA,
Bong-soo Kim,Central Midfield,25,"Korea, South",Daejeon Hana Citizen,€1.00m,UEFA,
Hayden Matthews,Centre-Back,21,Australia,Portsmouth FC,€1.30m,UEFA,
Hayato Araki,Centre-Back,28,Japan,Sanfrecce Hiroshima,€1.70m,UEFA,
Hyun-ju Lee,Attacking Midfield,22,"Korea, South",FC Arouca,€1.50m,UEFA,
Takahiro Akimoto,Left-Back,27,Japan,Oud-Heverlee Leuven,€1.50m,UEFA,
Yazan Al-Naimat,Centre-Forward,26,Jordan,Al-Arabi SC,€1.50m,UEFA,
Max Balard,Defensive Midfield,24,Australia,NAC Breda,€1.50m,UEFA,
Faisal Al-Ghamdi,Central Midfield,23,Saudi Arabia,Al-Ittihad Club,€1.50m,UEFA,
Yudong Wang,Left Winger,18,China,Zhejiang FC,€1.50m,UEFA,
Seung-hyun Jung,Centre-Back,31,"Korea, South",Ulsan HD FC,€1.60m,UEFA,
Hassan Tambakti,Centre-Back,26,Saudi Arabia,Al-Hilal SFC,€1.60m,UEFA,
Khalifa Al-Hammadi,Centre-Back,26,United Arab Emirates,Al-Jazira Club,€1.60m,UEFA,
Serginho,Attacking Midfield,30,China,Beijing Guoan,€1.70m,UEFA,
Keisuke Osako,Goalkeeper,25,Japan,Sanfrecce Hiroshima,€1.70m,UEFA,
Takumu Kawamura,Defensive Midfield,25,Japan,Red Bull Salzburg,€1.70m,UEFA,
Khusniddin Alikulov,Centre-Back,26,Uzbekistan,Caykur Rizespor,€1.70m,UEFA,
Hossein Kanaani,Centre-Back,31,Iran,Persepolis FC,€1.80m,UEFA,
Takuro Kaneko,Right Winger,27,Japan,Urawa Red Diamonds,€1.50m,UEFA,
Otabek Shukurov,Central Midfield,29,Uzbekistan,Without Club,€1.80m,UEFA,
Ahmad Noorollahi,Central Midfield,32,Iran,Kalba FC,€1.80m,UEFA,
Tomoki Iwata,Defensive Midfield,28,Japan,Birmingham City,€1.80m,UEFA,
Daiki Hashioka,Right-Back,26,Japan,SK Slavia Prague,€1.80m,UEFA,
Maarten Paes,Goalkeeper,27,Indonesia,FC Dallas,€1.80m,UEFA,
Ali Madan,Right Winger,29,Bahrain,Al-Riffa SC,€1.80m,UEFA,
Majid Rashid,Defensive Midfield,25,United Arab Emirates,Sharjah FC,€1.80m,UEFA,
Dean James,Left-Back,25,Indonesia,Go Ahead Eagles,€1.80m,UEFA,
Yu-min Cho,Centre-Back,28,"Korea, South",Sharjah FC,€1.80m,UEFA,
Yuki Ohashi,Centre-Forward,29,Japan,Blackburn Rovers,€1.80m,UEFA,
Jackson Irvine,Central Midfield,32,Australia,FC St. Pauli,€2.00m,UEFA,
Gaston Alvarez Suarez,Central Midfield,32,United Arab Emirates,Shabab Al-Ahli Club,€2.00m,UEFA,
Cameron Burgess,Centre-Back,29,Australia,Swansea City,€2.00m,UEFA,
Mao Hosoya,Centre-Forward,23,Japan,Kashiwa Reysol,€1.50m,UEFA,
Guilherme Bala,Left Winger,23,United Arab Emirates,Shabab Al-Ahli Club,€1.00m,UEFA,
Khozhimat Erkinov,Left Winger,24,Uzbekistan,Pakhtakor Tashkent,€1.50m,UEFA,
Mehdi Torabi,Left Winger,30,Iran,Tractor FC,€1.50m,UEFA,
Alex Robertson,Central Midfield,22,Australia,Cardiff City,€1.50m,UEFA,
Yasuto Wakizaka,Central Midfield,30,Japan,Kawasaki Frontale,€1.40m,UEFA,
Dong-gyeong Lee,Attacking Midfield,27,"Korea, South",Gimcheon Sangmu,€1.40m,UEFA,
Shunta Tanaka,Defensive Midfield,28,Japan,Cerezo Osaka,€1.40m,UEFA,
Ji-sung Eom,Left Winger,23,"Korea, South",Swansea City,€1.40m,UEFA,
Leandro Spadacio,Attacking Midfield,25,United Arab Emirates,Kalba FC,€1.40m,UEFA,
Abdulrahman Ghareeb,Left Winger,28,Saudi Arabia,Al-Nassr FC,€1.50m,UEFA,
Yuya Kubo,Attacking Midfield,31,Japan,FC Cincinnati,€1.50m,UEFA,
Saman Ghoddos,Attacking Midfield,31,Iran,Kalba FC,€1.50m,UEFA,
Alireza Jahanbakhsh,Right Winger,31,Iran,Without Club,€1.50m,UEFA,
Jaloliddin Masharipov,Left Winger,31,Uzbekistan,Esteghlal FC,€1.50m,UEFA,
Shinnosuke Nakatani,Centre-Back,29,Japan,Gamba Osaka,€1.50m,UEFA,
Seung-ho Paik,Central Midfield,28,"Korea, South",Birmingham City,€1.50m,UEFA,
Salem Al-Dawsari,Left Winger,33,Saudi Arabia,Al-Hilal SFC,€1.50m,UEFA,
Koji Miyoshi,Right Midfield,28,Japan,VfL Bochum,€1.50m,UEFA,
Nacho Mendez,Central Midfield,27,Malaysia,Johor Darul Ta'zim,€1.50m,UEFA,
Ado Onaiwu,Centre-Forward,29,Japan,AJ Auxerre,€1.50m,UEFA,
Joe Gauci,Goalkeeper,25,Australia,Aston Villa,€1.50m,UEFA,
Akmal Mozgovoy,Central Midfield,26,Uzbekistan,FC Baniyas,€1.50m,UEFA,
Amirhossein Hosseinzadeh,Centre-Forward,24,Iran,Tractor FC,€1.50m,UEFA,
Abduvokhid Nematov,Goalkeeper,24,Uzbekistan,Nasaf Qarshi,€1.50m,UEFA,
Facundo Mater,Right Midfield,27,Syria,CA Barracas Central,€1.50m,UEFA,
Rustam Yatimov,Goalkeeper,27,Tajikistan,FC Rostov,€1.50m,UEFA,
Yuki Soma,Right Winger,28,Japan,Machida Zelvia,€1.50m,UEFA,
Miki Yamane,Right-Back,31,Japan,Los Angeles Galaxy,€1.50m,UEFA,
Ryoya Ogawa,Left-Back,28,Japan,Kashima Antlers,€1.50m,UEFA,
Raphael Obermair,Right Midfield,29,Philippines,SC Paderborn 07,€1.50m,UEFA,
Mikel Merino,Central Midfield,29,Spain,Arsenal FC,€35.00m,OFC,
Marc Cucurella,Left-Back,27,Spain,Chelsea FC,€35.00m,OFC,
Denzel Dumfries,Right-Back,29,Netherlands,Inter Milan,€35.00m,OFC,
Vangelis Pavlidis,Centre-Forward,26,Greece,SL Benfica,€35.00m,OFC,
Justin Kluivert,Attacking Midfield,26,Netherlands,AFC Bournemouth,€35.00m,OFC,
Jonathan Burkardt,Centre-Forward,25,Germany,Eintracht Frankfurt,€35.00m,OFC,
Davide Frattesi,Central Midfield,25,Italy,Inter Milan,€35.00m,OFC,
Theo Hernandez,Left-Back,27,France,Al-Hilal SFC,€35.00m,OFC,
Christopher Nkunku,Centre-Forward,27,France,Chelsea FC,€35.00m,OFC,
Dusan Vlahovic,Centre-Forward,25,Serbia,Juventus FC,€35.00m,OFC,
Teun Koopmeiners,Attacking Midfield,27,Netherlands,Juventus FC,€35.00m,OFC,
Dan Ndoye,Right Winger,24,Switzerland,Bologna FC 1909,€35.00m,OFC,
Antonio Silva,Centre-Back,21,Portugal,SL Benfica,€32.00m,OFC,
Lewis Hall,Left-Back,20,England,Newcastle United,€32.00m,OFC,
Jesus Rodriguez,Left Winger,19,Spain,Como 1907,€30.00m,OFC,
Georgiy Sudakov,Attacking Midfield,22,Ukraine,Shakhtar Donetsk,€32.00m,OFC,
Ardon Jashari,Defensive Midfield,22,Switzerland,Club Brugge KV,€32.00m,OFC,
Jan Paul van Hecke,Centre-Back,25,Netherlands,Brighton & Hove Albion,€32.00m,OFC,
Elliot Anderson,Central Midfield,22,England,Nottingham Forest,€32.00m,OFC,
Georginio Rutter,Centre-Forward,23,France,Brighton & Hove Albion,€32.00m,OFC,
Tomas Araujo,Centre-Back,23,Portugal,SL Benfica,€32.00m,OFC,
Jacob Ramsey,Left Midfield,24,England,Aston Villa,€32.00m,OFC,
Josip Stanisic,Right-Back,25,Croatia,Bayern Munich,€32.00m,OFC,
Matteo Guendouzi,Central Midfield,26,France,SS Lazio,€32.00m,OFC,
Pau Torres,Centre-Back,28,Spain,Aston Villa,€32.00m,OFC,
Guglielmo Vicario,Goalkeeper,28,Italy,Tottenham Hotspur,€32.00m,OFC,
Leroy Sane,Right Winger,29,Germany,Galatasaray,€32.00m,OFC,
Francisco Trincao,Right Winger,25,Portugal,Sporting CP,€35.00m,OFC,
Harvey Barnes,Left Winger,27,England,Newcastle United,€35.00m,OFC,
Jorrel Hato,Left-Back,19,Netherlands,Ajax Amsterdam,€35.00m,OFC,
Ezri Konsa,Centre-Back,27,England,Aston Villa,€35.00m,OFC,
Matthijs de Ligt,Centre-Back,25,Netherlands,Manchester United,€38.00m,OFC,
Nico Schlotterbeck,Centre-Back,25,Germany,Borussia Dortmund,€40.00m,OFC,
Diogo Costa,Goalkeeper,25,Portugal,FC Porto,€40.00m,OFC,
Robin Le Normand,Centre-Back,28,Spain,Atlético de Madrid,€40.00m,OFC,
Fabian Ruiz,Central Midfield,29,Spain,Paris Saint-Germain,€40.00m,OFC,
Ollie Watkins,Centre-Forward,29,England,Aston Villa,€40.00m,OFC,
Gianluigi Donnarumma,Goalkeeper,26,Italy,Paris Saint-Germain,€40.00m,OFC,
Jarrod Bowen,Right Winger,28,England,West Ham United,€40.00m,OFC,
David Raya,Goalkeeper,29,Spain,Arsenal FC,€40.00m,OFC,
Dominic Solanke,Centre-Forward,27,England,Tottenham Hotspur,€40.00m,OFC,
Gregor Kobel,Goalkeeper,27,Switzerland,Borussia Dortmund,€40.00m,OFC,
Archie Gray,Defensive Midfield,19,England,Tottenham Hotspur,€38.00m,OFC,
Lucas Bergvall,Central Midfield,19,Sweden,Tottenham Hotspur,€38.00m,OFC,
Pedro Porro,Right-Back,25,Spain,Tottenham Hotspur,€38.00m,OFC,
Youri Tielemans,Central Midfield,28,Belgium,Aston Villa,€38.00m,OFC,
Nikola Milenkovic,Centre-Back,27,Serbia,Nottingham Forest,€35.00m,OFC,
Bernardo Silva,Attacking Midfield,30,Portugal,Manchester City,€38.00m,OFC,
Tom Bischof,Central Midfield,20,Germany,Bayern Munich,€30.00m,OFC,
Alvaro Carreras,Left-Back,22,Spain,Real Madrid,€35.00m,OFC,
Mathys Tel,Centre-Forward,20,France,Tottenham Hotspur,€35.00m,OFC,
Malo Gusto,Right-Back,22,France,Chelsea FC,€35.00m,OFC,
Rasmus Hojlund,Centre-Forward,22,Denmark,Manchester United,€35.00m,OFC,
Matheus Nunes,Central Midfield,26,Portugal,Manchester City,€35.00m,OFC,
Giorgio Scalvini,Centre-Back,21,Italy,Atalanta BC,€35.00m,OFC,
Enzo Millot,Attacking Midfield,23,France,VfB Stuttgart,€35.00m,OFC,
Riccardo Calafiori,Left-Back,23,Italy,Arsenal FC,€35.00m,OFC,
Andrea Cambiaso,Left-Back,25,Italy,Juventus FC,€35.00m,OFC,
Yann Bisseck,Centre-Back,24,Germany,Inter Milan,€35.00m,OFC,
Charles De Ketelaere,Attacking Midfield,24,Belgium,Atalanta BC,€35.00m,OFC,
Mikel Jauregizar,Central Midfield,21,Spain,Athletic Bilbao,€30.00m,OFC,
Isak Hien,Centre-Back,26,Sweden,Atalanta BC,€30.00m,OFC,
Malick Fofana,Left Winger,20,Belgium,Olympique Lyon,€30.00m,OFC,
Denis Zakaria,Defensive Midfield,28,Switzerland,AS Monaco,€30.00m,OFC,
Joao Palhinha,Defensive Midfield,30,Portugal,Bayern Munich,€30.00m,OFC,
Kingsley Coman,Left Winger,29,France,Bayern Munich,€30.00m,OFC,
Jonathan Tah,Centre-Back,29,Germany,Bayern Munich,€30.00m,OFC,
Alejandro Grimaldo,Left-Back,29,Spain,Bayer 04 Leverkusen,€30.00m,OFC,
Hakan Calhanoglu,Defensive Midfield,31,Türkiye,Inter Milan,€30.00m,OFC,
Ayyoub Bouaddi,Central Midfield,17,France,LOSC Lille,€28.00m,OFC,
Antonio Nusa,Left Winger,20,Norway,RB Leipzig,€28.00m,OFC,
Toti,Centre-Back,26,Portugal,Wolverhampton Wanderers,€28.00m,OFC,
Pierre Kalulu,Centre-Back,25,France,Juventus FC,€28.00m,OFC,
Mikkel Damsgaard,Attacking Midfield,25,Denmark,Brentford FC,€28.00m,OFC,
Anatoliy Trubin,Goalkeeper,23,Ukraine,SL Benfica,€28.00m,OFC,
Francisco Conceicao,Right Winger,22,Portugal,Juventus FC,€28.00m,OFC,
Ian Maatsen,Left-Back,23,Netherlands,Aston Villa,€28.00m,OFC,
Kenneth Taylor,Central Midfield,23,Netherlands,Ajax Amsterdam,€28.00m,OFC,
Nathan Collins,Centre-Back,24,Ireland,Brentford FC,€28.00m,OFC,
Bafode Diakite,Centre-Back,24,France,LOSC Lille,€28.00m,OFC,
Sam Beukema,Centre-Back,26,Netherlands,SSC Napoli,€28.00m,OFC,
Lewis Ferguson,Central Midfield,25,Scotland,Bologna FC 1909,€28.00m,OFC,
Jakub Kiwior,Centre-Back,25,Poland,Arsenal FC,€28.00m,OFC,
Felix Nmecha,Central Midfield,24,Germany,Borussia Dortmund,€28.00m,OFC,
Vitaliy Mykolenko,Left-Back,26,Ukraine,Everton FC,€28.00m,OFC,
Jadon Sancho,Left Winger,25,England,Manchester United,€28.00m,OFC,
Mason Mount,Attacking Midfield,26,England,Manchester United,€28.00m,OFC,
Manuel Akanji,Centre-Back,30,Switzerland,Manchester City,€28.00m,OFC,
Unai Simon,Goalkeeper,28,Spain,Athletic Bilbao,€28.00m,OFC,
Jack Grealish,Left Winger,29,England,Manchester City,€28.00m,OFC,
Joachim Andersen,Centre-Back,29,Denmark,Fulham FC,€27.00m,OFC,
Manuel Locatelli,Defensive Midfield,27,Italy,Juventus FC,€30.00m,OFC,
Artem Dovbyk,Centre-Forward,28,Ukraine,AS Roma,€30.00m,OFC,
Cristhian Mosquera,Centre-Back,21,Spain,Arsenal FC,€30.00m,OFC,
Diogo Dalot,Right-Back,26,Portugal,Manchester United,€30.00m,OFC,
Marc Casado,Defensive Midfield,21,Spain,FC Barcelona,€30.00m,OFC,
Conor Bradley,Right-Back,22,Northern Ireland,Liverpool FC,€30.00m,OFC,
Mario Gila,Centre-Back,24,Spain,SS Lazio,€30.00m,OFC,
Youssouf Fofana,Defensive Midfield,26,France,AC Milan,€30.00m,OFC,
Yeremy Pino,Right Winger,22,Spain,Villarreal CF,€30.00m,OFC,
Harvey Elliott,Attacking Midfield,22,England,Liverpool FC,€30.00m,OFC,
Mika Biereth,Centre-Forward,22,Denmark,AS Monaco,€30.00m,OFC,
Johan Bakayoko,Right Winger,22,Belgium,RB Leipzig,€30.00m,OFC,
Bart Verbruggen,Goalkeeper,22,Netherlands,Brighton & Hove Albion,€30.00m,OFC,
Zeno Debast,Centre-Back,21,Belgium,Sporting CP,€30.00m,OFC,
Nicolo Rovella,Defensive Midfield,23,Italy,SS Lazio,€30.00m,OFC,
Giorgi Mamardashvili,Goalkeeper,24,Georgia,Liverpool FC,€30.00m,OFC,
Randal Kolo Muani,Centre-Forward,26,France,Paris Saint-Germain,€30.00m,OFC,
Kevin Schade,Left Winger,23,Germany,Brentford FC,€30.00m,OFC,
Reece James,Right-Back,25,England,Chelsea FC,€30.00m,OFC,
Samuele Ricci,Defensive Midfield,23,Italy,AC Milan,€30.00m,OFC,
Lucas Chevalier,Goalkeeper,23,France,LOSC Lille,€30.00m,OFC,
Nick Woltemade,Second Striker,23,Germany,VfB Stuttgart,€30.00m,OFC,
Orkun Kokcu,Central Midfield,24,Türkiye,Besiktas JK,€30.00m,OFC,
Joshua Zirkzee,Centre-Forward,24,Netherlands,Manchester United,€30.00m,OFC,
Jorgen Strand Larsen,Centre-Forward,25,Norway,Wolverhampton Wanderers,€30.00m,OFC,
Pedro Goncalves,Left Winger,27,Portugal,Sporting CP,€30.00m,OFC,
Quinten Timber,Central Midfield,24,Netherlands,Feyenoord Rotterdam,€30.00m,OFC,
Jean-Philippe Mateta,Centre-Forward,28,France,Crystal Palace,€30.00m,OFC,
David Hancko,Centre-Back,27,Slovakia,Atlético de Madrid,€30.00m,OFC,
Moussa Diaby,Right Winger,26,France,Al-Ittihad Club,€30.00m,OFC,
