name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Ante Palaversa,MF,Defensive_Midfielder,25,Croatia,UEFA,Aberdeen FC,Scottish_Premiership,9.8,antepalaversa_CRO
Anthony Caci,DF,Right_Back,28,France,UEFA,1.FSV Mainz 05,Bundesliga,195.0,anthonycaci_FRA
Anthony Gordon,FW,Left_Winger,24,England,UEFA,Newcastle United,PremierLeague,1056.2,anthonygordon_ENG
Anthony Kalik,MF,Attacking_Midfielder,27,Australia,AFC,HNK Hajduk Split,SuperSport_HNL,16.2,anthonykalik_AUS
Anthony Lopes,GK,Goalkeeper,34,Portugal,UEFA,FC Nantes,Ligue1,19.5,anthonylopes_POR
Anthony Mandrea,GK,Goalkeeper,28,Algeria,CAF,SM Caen,Other_leagues,16.2,anthonymandrea_ALG
Anthony Moris,GK,Goalkeeper,35,Luxembourg,UEFA,Al-Khaleej FC,Saudi_ProLeague,29.2,anthonymoris_LUX
Anthony Nwakaeme,FW,Left_Winger,36,Nigeria,CAF,Trabzonspor,SuperLig,9.8,anthonynwakaeme_NIG
Anthony Patterson,GK,Goalkeeper,25,England,UEFA,Sunderland AFC,PremierLeague,227.5,anthonypatterson_ENG
Anthony Racioppi,GK,Goalkeeper,26,Switzerland,UEFA,FC Sion,Swiss_SuperLeague,16.2,anthonyracioppi_SWI
Anthony Ralston,DF,Right_Back,26,Scotland,UEFA,Celtic FC,Scottish_Premiership,24.4,anthonyralston_SCO
Anthony Rouault,DF,Centre_Back,24,France,UEFA,Stade Rennais FC,Ligue1,162.5,anthonyrouault_FRA
Anto Grgic,MF,Central_Midfielder,28,Switzerland,UEFA,FC Lugano,Swiss_SuperLeague,24.4,antogrgic_SWI
Antoine Griezmann,FW,Striker,34,France,UEFA,Atlético de Madrid,LaLiga,292.5,antoinegriezmann_FRA
Antoine Makoumbou,MF,Defensive_Midfielder,27,Congo,CAF,Samsunspor,SuperLig,56.9,antoinemakoumbou_CON
Antonee Robinson,DF,Left_Back,27,United States,CONCACAF,Fulham FC,PremierLeague,568.8,antoneerobinson_UNI
Anton Gaaei,DF,Right_Back,22,Denmark,UEFA,Ajax Amsterdam,Eredivisie,113.8,antongaaei_DEN
Antoni Kozubal,MF,Defensive_Midfielder,20,Poland,UEFA,Lech Poznan,Ekstraklasa,81.2,antonikozubal_POL
Antoni Milambo,MF,Attacking_Midfielder,20,Netherlands,UEFA,Brentford FC,PremierLeague,292.5,antonimilambo_NET
Antonin Kinsky,GK,Goalkeeper,22,Czech Republic,UEFA,Tottenham Hotspur,PremierLeague,243.8,antoninkinsky_CZE
Antonio Blanco,MF,Defensive_Midfielder,25,Spain,UEFA,Deportivo Alavés,LaLiga,162.5,antonioblanco_SPA
Antonio Portales,DF,Centre_Back,29,Mexico,CONCACAF,Without Club,Without_Club,14.6,antonioportales_MEX
Antonio Raimondo,FW,Striker,21,Italy,UEFA,Frosinone Calcio,Serie_B,61.8,antonioraimondo_ITA
Antonio Rudiger,DF,Centre_Back,32,Germany,UEFA,Real Madrid,LaLiga,325.0,antoniorudiger_GER
Antonio Silva,DF,Centre_Back,21,Portugal,UEFA,SL Benfica,Liga_Portugal,520.0,antoniosilva_POR
Anton Kade,MF,Side_Midfielder,21,Germany,UEFA,FC Basel 1893,Swiss_SuperLeague,81.2,antonkade_GER
Anton Stach,MF,Defensive_Midfielder,26,Germany,UEFA,Leeds United,PremierLeague,227.5,antonstach_GER
Ao Tanaka,MF,Defensive_Midfielder,26,Japan,AFC,Leeds United,PremierLeague,162.5,aotanaka_JAP
Archie Goodwin,FW,Striker,20,Australia,AFC,Adelaide United,A_League,8.9,archiegoodwin_AUS
Archie Gray,MF,Defensive_Midfielder,19,England,UEFA,Tottenham Hotspur,PremierLeague,617.5,archiegray_ENG
Ardon Jashari,MF,Defensive_Midfielder,22,Switzerland,UEFA,Club Brugge KV,Jupiler_ProLeague,520.0,ardonjashari_SWI
Arijanet Muric,GK,Goalkeeper,26,Kosovo,UEFA,Ipswich Town,Championship,81.2,arijanetmuric_KOS
Armand Lauriente,FW,Left_Winger,26,France,UEFA,US Sassuolo,Serie_A,243.8,armandlauriente_FRA
Armando Broja,FW,Striker,23,Albania,UEFA,Chelsea FC,PremierLeague,195.0,armandobroja_ALB
Armando Sadiku,FW,Striker,34,Albania,UEFA,Without Club,Without_Club,6.5,armandosadiku_ALB
Arnaud Bodart,GK,Goalkeeper,27,Belgium,UEFA,LOSC Lille,Ligue1,40.6,arnaudbodart_BEL
Arnaud Kalimuendo,FW,Striker,23,France,UEFA,Stade Rennais FC,Ligue1,357.5,arnaudkalimuendo_FRA
Arnau Martinez,DF,Right_Back,22,Spain,UEFA,Girona FC,LaLiga,162.5,arnaumartinez_SPA
Arnau Tenas,GK,Goalkeeper,24,Spain,UEFA,Paris Saint-Germain,Ligue1,48.8,arnautenas_SPA
Arne Engels,MF,Central_Midfielder,21,Belgium,UEFA,Celtic FC,Scottish_Premiership,195.0,arneengels_BEL
Arouna Sangante,DF,Centre_Back,23,Senegal,CAF,Le Havre AC,Ligue1,130.0,arounasangante_SEN
Arsen Zakharyan,MF,Attacking_Midfielder,22,Russia,UEFA,Real Sociedad,LaLiga,146.2,arsenzakharyan_RUS
Artem Bondarenko,MF,Attacking_Midfielder,24,Ukraine,UEFA,Shakhtar Donetsk,Ukrainian_PremierLeague,162.5,artembondarenko_UKR
Artem Dovbyk,FW,Striker,28,Ukraine,UEFA,AS Roma,Serie_A,487.5,artemdovbyk_UKR
Arthur Atta,MF,Central_Midfielder,22,France,UEFA,Udinese Calcio,Serie_A,130.0,arthuratta_FRA
Arthur Cabral,FW,Striker,27,Brazil,CONMEBOL,Botafogo de Futebol e Regatas,Brasileiro_SerieA,162.5,arthurcabral_BRA
Arthur Desmas,GK,Goalkeeper,31,France,UEFA,Without Club,Without_Club,19.5,arthurdesmas_FRA
Arthur Masuaku,DF,Left_Back,31,Congo,CAF,Without Club,Without_Club,48.8,arthurmasuaku_CON
Arthur Okonkwo,GK,Goalkeeper,23,England,UEFA,Wrexham AFC,Championship,32.5,arthurokonkwo_ENG
Arthur Theate,DF,Centre_Back,25,Belgium,UEFA,Eintracht Frankfurt,Bundesliga,390.0,arthurtheate_BEL
Arthur Vermeeren,MF,Defensive_Midfielder,20,Belgium,UEFA,RB Leipzig,Bundesliga,357.5,arthurvermeeren_BEL
Aschraf El Mahdioui,MF,Defensive_Midfielder,29,Netherlands,UEFA,Al-Taawoun FC,Saudi_ProLeague,48.8,aschrafelmahdioui_NET
Ashley Westwood,MF,Defensive_Midfielder,35,England,UEFA,Charlotte FC,MLS,6.5,ashleywestwood_ENG
Ashley Young,DF,Right_Back,40,England,UEFA,Ipswich Town,Championship,8.1,ashleyyoung_ENG
Assan Ceesay,FW,Striker,31,Gambia,CAF,Damac FC,Saudi_ProLeague,19.5,assanceesay_GAM
Assan Ouedraogo,MF,Central_Midfielder,19,Germany,UEFA,RB Leipzig,Bundesliga,113.8,assanouedraogo_GER
Augusto Batalla,GK,Goalkeeper,29,Argentina,CONMEBOL,Rayo Vallecano,LaLiga,97.5,augustobatalla_ARG
Aurele Amenda,DF,Centre_Back,21,Switzerland,UEFA,Eintracht Frankfurt,Bundesliga,121.9,aureleamenda_SWI
Aurelien Tchouameni,MF,Defensive_Midfielder,25,France,UEFA,Real Madrid,LaLiga,1218.8,aurelientchouameni_FRA
Auston Trusty,DF,Centre_Back,26,United States,CONCACAF,Celtic FC,Scottish_Premiership,97.5,austontrusty_UNI
Axel Disasi,DF,Centre_Back,27,France,UEFA,Chelsea FC,PremierLeague,357.5,axeldisasi_FRA
Axel Witsel,DF,Centre_Back,36,Belgium,UEFA,Without Club,Without_Club,32.5,axelwitsel_BEL
Ayase Ueda,FW,Striker,26,Japan,AFC,Feyenoord Rotterdam,Eredivisie,130.0,ayaseueda_JAP
Ayman El Wafi,DF,Centre_Back,21,Morocco,CAF,FC Lugano,Swiss_SuperLeague,65.0,aymanelwafi_MOR
Aymeric Laporte,DF,Centre_Back,31,Spain,UEFA,Al-Nassr FC,Saudi_ProLeague,243.8,aymericlaporte_SPA
Aynsley Pears,GK,Goalkeeper,27,England,UEFA,Blackburn Rovers,Championship,22.8,aynsleypears_ENG
Ayoub El Kaabi,FW,Striker,32,Morocco,CAF,Olympiacos Piraeus,SuperLeague1,81.2,ayoubelkaabi_MOR
Ayrton Costa,DF,Centre_Back,26,Argentina,CONMEBOL,CA Boca Juniors,Liga_Profesional,52.0,ayrtoncosta_ARG
Ayumu Seko,DF,Centre_Back,25,Japan,AFC,Le Havre AC,Ligue1,16.2,ayumuseko_JAP
Azor Matusiwa,MF,Defensive_Midfielder,27,Netherlands,UEFA,Ipswich Town,Championship,130.0,azormatusiwa_NET
Azzedine Ounahi,MF,Central_Midfielder,25,Morocco,CAF,Olympique Marseille,Ligue1,162.5,azzedineounahi_MOR
Badredine Bouanani,FW,Right_Winger,20,Algeria,CAF,OGC Nice,Ligue1,113.8,badredinebouanani_ALG
Bae Jun Ho,MF,Attacking_Midfielder,21,"Korea, South",AFC,Stoke City,Championship,48.8,baejunho_KOR
Bafode Diakite,DF,Centre_Back,24,France,UEFA,LOSC Lille,Ligue1,455.0,bafodediakite_FRA
Bailey Peacock-Farrell,GK,Goalkeeper,28,Northern Ireland,UEFA,Blackpool FC,League_One,16.2,baileypeacock-farrell_NOR
Bailey Rice,MF,Defensive_Midfielder,18,Scotland,UEFA,Rangers FC,Scottish_Premiership,13.0,baileyrice_SCO
Bajung Darboe,MF,Attacking_Midfielder,18,United States,CONCACAF,FC Bayern Munich II,Other_leagues,21.1,bajungdarboe_UNI
Baltasar Rodriguez,MF,Attacking_Midfielder,22,Argentina,CONMEBOL,Inter Miami CF,MLS,73.1,baltasarrodriguez_ARG
Baltazar,MF,Central_Midfielder,25,Brazil,CONMEBOL,FC Sion,Swiss_SuperLeague,24.4,baltazar_BRA
Bamba Dieng,FW,Striker,25,Senegal,CAF,FC Lorient,Ligue1,48.8,bambadieng_SEN
Bartlomiej Dragowski,GK,Goalkeeper,27,Poland,UEFA,Panathinaikos FC,SuperLeague1,48.8,bartlomiejdragowski_POL
Bartosz Mrozek,GK,Goalkeeper,25,Poland,UEFA,Lech Poznan,Ekstraklasa,56.9,bartoszmrozek_POL
Bartosz Slisz,MF,Defensive_Midfielder,26,Poland,UEFA,Atlanta United FC,MLS,65.0,bartoszslisz_POL
Bart van Rooij,DF,Right_Back,24,Netherlands,UEFA,Twente Enschede FC,Eredivisie,97.5,bartvanrooij_NET
Bart Verbruggen,GK,Goalkeeper,22,Netherlands,UEFA,Brighton & Hove Albion,PremierLeague,487.5,bartverbruggen_NET
Bashir Humphreys,DF,Left_Back,22,England,UEFA,Burnley FC,PremierLeague,113.8,bashirhumphreys_ENG
Bastien Toma,MF,Central_Midfielder,26,Switzerland,UEFA,FC St. Gallen 1879,Swiss_SuperLeague,24.4,bastientoma_SWI
Batista Mendy,MF,Defensive_Midfielder,25,France,UEFA,Trabzonspor,SuperLig,162.5,batistamendy_FRA
Benat Prados,MF,Central_Midfielder,24,Spain,UEFA,Athletic Bilbao,LaLiga,292.5,benatprados_SPA
Ben Brereton Diaz,FW,Striker,26,Chile,CONMEBOL,Southampton FC,Championship,121.9,benbreretondiaz_CHI
Ben Cabango,DF,Centre_Back,25,Wales,UEFA,Swansea City,Championship,146.2,bencabango_WAL
Ben Chilwell,DF,Left_Back,28,England,UEFA,Chelsea FC,PremierLeague,243.8,benchilwell_ENG
Ben Davies,DF,Centre_Back,29,England,UEFA,Rangers FC,Scottish_Premiership,40.6,bendavies_ENG
Bendeguz Bolla,DF,Right_Back,25,Hungary,UEFA,Rapid Vienna,Austria_Bundesliga,40.6,bendeguzbolla_HUN
Ben Doak,FW,Right_Winger,19,Scotland,UEFA,Liverpool FC,PremierLeague,227.5,bendoak_SCO
Benedict Hollerbach,FW,Striker,24,Germany,UEFA,1.FSV Mainz 05,Bundesliga,195.0,benedicthollerbach_GER
Ben Garuccio,DF,Left_Back,30,Australia,AFC,Western United FC,A_League,6.5,bengaruccio_AUS
Beni Baningime,MF,Defensive_Midfielder,26,Congo,CAF,Heart of Midlothian FC,Scottish_Premiership,24.4,benibaningime_CON
Benie Traore,FW,Left_Winger,22,Cote d'Ivoire,CAF,FC Basel 1893,Swiss_SuperLeague,162.5,benietraore_COT
Benjamin Andre,MF,Defensive_Midfielder,34,France,UEFA,LOSC Lille,Ligue1,81.2,benjaminandre_FRA
Benjamin Henrichs,DF,Right_Back,28,Germany,UEFA,RB Leipzig,Bundesliga,243.8,benjaminhenrichs_GER
Benjamin Lecomte,GK,Goalkeeper,34,France,UEFA,Fulham FC,PremierLeague,24.4,benjaminlecomte_FRA
Benjamin Nygren,FW,Right_Winger,24,Sweden,UEFA,Celtic FC,Scottish_Premiership,97.5,benjaminnygren_SWE
Benjamin Pavard,DF,Centre_Back,29,France,UEFA,Inter Milan,Serie_A,406.2,benjaminpavard_FRA
Benjamin Sesko,FW,Striker,22,Slovenia,UEFA,RB Leipzig,Bundesliga,1137.5,benjaminsesko_SLO
Benjamin Tahirovic,MF,Central_Midfielder,22,Bosnia-Herzegovina,UEFA,Bröndby IF,Danish_Superligaen,48.8,benjamintahirovic_BOS
Ben Johnson,DF,Right_Back,25,England,UEFA,Ipswich Town,Championship,130.0,benjohnson_ENG
Ben Mee,DF,Centre_Back,35,England,UEFA,Without Club,Without_Club,11.4,benmee_ENG
Benoit Badiashile,DF,Centre_Back,24,France,UEFA,Chelsea FC,PremierLeague,357.5,benoitbadiashile_FRA
Ben Sheaf,MF,Defensive_Midfielder,27,England,UEFA,Coventry City,Championship,113.8,bensheaf_ENG
Bento,GK,Goalkeeper,26,Brazil,CONMEBOL,Al-Nassr FC,Saudi_ProLeague,178.8,bento_BRA
Ben Waine,FW,Striker,24,New Zealand,OFC,Port Vale FC,League_One,8.9,benwaine_NEW
Ben Warland,DF,Centre_Back,28,Australia,AFC,Brisbane Roar,A_League,5.7,benwarland_AUS
Ben Wilmot,DF,Centre_Back,25,England,UEFA,Stoke City,Championship,78.0,benwilmot_ENG
Berat Ozdemir,MF,Defensive_Midfielder,27,Turkey,UEFA,Basaksehir FK,SuperLig,68.2,beratozdemir_TUR
Berkan Kutlu,MF,Central_Midfielder,27,Turkey,UEFA,Galatasaray,SuperLig,52.0,berkankutlu_TUR
Berke Ozer,GK,Goalkeeper,25,Turkey,UEFA,Eyüpspor,SuperLig,97.5,berkeozer_TUR
Bernardo Silva,MF,Attacking_Midfielder,30,Portugal,UEFA,Manchester City,PremierLeague,617.5,bernardosilva_POR
Bernd Leno,GK,Goalkeeper,33,Germany,UEFA,Fulham FC,PremierLeague,162.5,berndleno_GER
Bertrand Traore,FW,Right_Winger,29,Burkina Faso,CAF,Ajax Amsterdam,Eredivisie,130.0,bertrandtraore_BUR
Bilal Bayazit,GK,Goalkeeper,26,Turkey,UEFA,Kayserispor,SuperLig,32.5,bilalbayazit_TUR
Bilal El Khannouss,MF,Attacking_Midfielder,21,Morocco,CAF,Leicester City,Championship,455.0,bilalelkhannouss_MOR
Bilal Nadir,MF,Central_Midfielder,21,Morocco,CAF,Olympique Marseille,Ligue1,81.2,bilalnadir_MOR
Bill Tuiloma,DF,Centre_Back,30,New Zealand,OFC,Charlotte FC,MLS,6.5,billtuiloma_NEW
Billy Gilmour,MF,Defensive_Midfielder,24,Scotland,UEFA,SSC Napoli,Serie_A,325.0,billygilmour_SCO
Birger Meling,DF,Left_Back,30,Norway,UEFA,FC Copenhagen,Danish_Superligaen,40.6,birgermeling_NOR
Bjorn Meijer,DF,Left_Back,22,Netherlands,UEFA,Club Brugge KV,Jupiler_ProLeague,65.0,bjornmeijer_NET
Blair Spittal,MF,Central_Midfielder,29,Scotland,UEFA,Heart of Midlothian FC,Scottish_Premiership,13.0,blairspittal_SCO
Bobby Clark,MF,Central_Midfielder,20,England,UEFA,Red Bull Salzburg,Austria_Bundesliga,73.1,bobbyclark_ENG
Bode Hidalgo,DF,Right_Back,23,United States,CONCACAF,Real Salt Lake City,MLS,24.4,bodehidalgo_UNI
Boris Matic,DF,Right_Back,20,Serbia,UEFA,Wolfsberger AC,Austria_Bundesliga,13.0,borismatic_SER
Borja Mayoral,FW,Striker,28,Spain,UEFA,Getafe CF,LaLiga,121.9,borjamayoral_SPA
Boubacar Kamara,MF,Defensive_Midfielder,25,France,UEFA,Aston Villa,PremierLeague,650.0,boubacarkamara_FRA
Boubakary Soumare,MF,Defensive_Midfielder,26,France,UEFA,Leicester City,Championship,195.0,boubakarysoumare_FRA
Boulaye Dia,FW,Striker,28,Senegal,CAF,SS Lazio,Serie_A,243.8,boulayedia_SEN
Bozhidar Kraev,FW,Left_Winger,28,Bulgaria,UEFA,Western Sydney Wanderers,A_League,11.4,bozhidarkraev_BUL
Brad Collins,GK,Goalkeeper,28,England,UEFA,Coventry City,Championship,16.2,bradcollins_ENG
Bradley Barcola,FW,Left_Winger,22,France,UEFA,Paris Saint-Germain,Ligue1,1137.5,bradleybarcola_FRA
Bradley Locko,DF,Left_Back,23,France,UEFA,Stade Brestois 29,Ligue1,146.2,bradleylocko_FRA
Brad Stuver,GK,Goalkeeper,34,United States,CONCACAF,Austin FC,MLS,9.8,bradstuver_UNI
Braian Ojeda,MF,Central_Midfielder,25,Paraguay,CONMEBOL,Real Salt Lake City,MLS,65.0,braianojeda_PAR
Braian Romero,FW,Striker,34,Argentina,CONMEBOL,CA Vélez Sarsfield,Liga_Profesional,19.5,braianromero_ARG
Brais Mendez,MF,Attacking_Midfielder,28,Spain,UEFA,Real Sociedad,LaLiga,357.5,braismendez_SPA
Branco van den Boomen,MF,Central_Midfielder,30,Netherlands,UEFA,Ajax Amsterdam,Eredivisie,56.9,brancovandenboomen_NET
Brandon Aguilera,MF,Attacking_Midfielder,22,Costa Rica,CONCACAF,Rio Ave FC,Liga_Portugal,24.4,brandonaguilera_COS
Brandon Borrello,FW,Striker,30,Australia,AFC,Western Sydney Wanderers,A_League,12.2,brandonborrello_AUS
Brandon Bye,DF,Right_Back,29,United States,CONCACAF,New England Revolution,MLS,32.5,brandonbye_UNI
Brandon Mechele,DF,Centre_Back,32,Belgium,UEFA,Club Brugge KV,Jupiler_ProLeague,56.9,brandonmechele_BEL
Brandon Thomas-Asante,FW,Striker,26,Ghana,CAF,Coventry City,Championship,56.9,brandonthomas-asante_GHA
Brandt Bronico,MF,Central_Midfielder,30,United States,CONCACAF,Charlotte FC,MLS,24.4,brandtbronico_UNI
Brayan Cortes,GK,Goalkeeper,30,Chile,CONMEBOL,CSD Colo-Colo,Primera_División,29.2,brayancortes_CHI
Brayan Gil,FW,Striker,24,El Salvador,CONCACAF,Baltika Kaliningrad,Russian_PremierLiga,16.2,brayangil_EL 
Brecht Dejaegere,MF,Central_Midfielder,34,Belgium,UEFA,KV Kortrijk,Other_leagues,8.1,brechtdejaegere_BEL
Breel Embolo,FW,Striker,28,Switzerland,UEFA,AS Monaco,Ligue1,195.0,breelembolo_SWI
Bremer,DF,Centre_Back,28,Brazil,CONMEBOL,Juventus FC,Serie_A,812.5,bremer_BRA
Brendan Hines-Ike,DF,Centre_Back,30,United States,CONCACAF,Austin FC,MLS,16.2,brendanhines-ike_UNI
Brenden Aaronson,MF,Attacking_Midfielder,24,United States,CONCACAF,Leeds United,PremierLeague,243.8,brendenaaronson_UNI
Brian Aguirre,FW,Left_Winger,22,Argentina,CONMEBOL,CA Boca Juniors,Liga_Profesional,65.0,brianaguirre_ARG
Brian Brobbey,FW,Striker,23,Netherlands,UEFA,Ajax Amsterdam,Eredivisie,357.5,brianbrobbey_NET
Brian Gutierrez,MF,Attacking_Midfielder,22,United States,CONCACAF,Chicago Fire FC,MLS,81.2,briangutierrez_UNI
Brian Kaltak,DF,Centre_Back,31,Vanuatu,OFC,Perth Glory,A_League,7.3,briankaltak_VAN
Brian White,FW,Striker,29,United States,CONCACAF,Vancouver Whitecaps FC,MLS,81.2,brianwhite_UNI
Brice Samba,GK,Goalkeeper,31,France,UEFA,Stade Rennais FC,Ligue1,195.0,bricesamba_FRA
Bright Osayi-Samuel,DF,Right_Back,27,Nigeria,CAF,Birmingham City,Championship,105.6,brightosayi-samuel_NIG
Brooke Norton-Cuffy,DF,Right_Back,21,England,UEFA,Genoa CFC,Serie_A,56.9,brookenorton-cuffy_ENG
Brooks Lennon,DF,Right_Back,27,United States,CONCACAF,Atlanta United FC,MLS,40.6,brookslennon_UNI
Bruno Fernandes,MF,Attacking_Midfielder,30,Portugal,UEFA,Manchester United,PremierLeague,812.5,brunofernandes_POR
Bruno Guimaraes,MF,Defensive_Midfielder,27,Brazil,CONMEBOL,Newcastle United,PremierLeague,1300.0,brunoguimaraes_BRA
Bruno Onyemaechi,DF,Left_Back,26,Nigeria,CAF,Olympiacos Piraeus,SuperLeague1,43.9,brunoonyemaechi_NIG
Bruno Petkovic,FW,Striker,30,Croatia,UEFA,Kocaelispor,SuperLig,48.8,brunopetkovic_CRO
Bruno Varela,GK,Goalkeeper,30,Cabo Verde,CAF,Vitória Guimarães SC,Liga_Portugal,40.6,brunovarela_CAB
Bryan Heynen,MF,Central_Midfielder,28,Belgium,UEFA,KRC Genk,Jupiler_ProLeague,178.8,bryanheynen_BEL
Bryan Mbeumo,FW,Right_Winger,25,Cameroon,CAF,Manchester United,PremierLeague,893.8,bryanmbeumo_CAM
Bryan Reynolds,DF,Right_Back,24,United States,CONCACAF,KVC Westerlo,Jupiler_ProLeague,56.9,bryanreynolds_UNI
Bryce Duke,MF,Attacking_Midfielder,24,United States,CONCACAF,CF Montréal,MLS,32.5,bryceduke_UNI
Bukayo Saka,FW,Right_Winger,23,England,UEFA,Arsenal FC,PremierLeague,2437.5,bukayosaka_ENG
Caden Clark,MF,Attacking_Midfielder,22,United States,CONCACAF,CF Montréal,MLS,29.2,cadenclark_UNI
Caglar Soyuncu,DF,Centre_Back,29,Turkey,UEFA,Fenerbahce,SuperLig,113.8,caglarsoyuncu_TUR
Caio Henrique,DF,Left_Back,27,Brazil,CONMEBOL,AS Monaco,Ligue1,243.8,caiohenrique_BRA
Caleb Okoli,DF,Centre_Back,24,Italy,UEFA,Leicester City,Championship,162.5,calebokoli_ITA
Caleb Wiley,DF,Left_Back,20,United States,CONCACAF,Watford FC,Championship,130.0,calebwiley_UNI
Calegari,DF,Right_Back,23,Brazil,CONMEBOL,Eyüpspor,SuperLig,56.9,calegari_BRA
Calem Nieuwenhof,MF,Defensive_Midfielder,24,Australia,AFC,Heart of Midlothian FC,Scottish_Premiership,16.2,calemnieuwenhof_AUS
Callan Elliot,DF,Right_Back,26,New Zealand,OFC,Auckland FC,A_League,4.9,callanelliot_NEW
Callum Doyle,DF,Centre_Back,21,England,UEFA,Manchester City U21,Other_leagues,243.8,callumdoyle_ENG
Callum McGregor,MF,Central_Midfielder,32,Scotland,UEFA,Celtic FC,Scottish_Premiership,81.2,callummcgregor_SCO
Callum Talbot,DF,Right_Back,24,Australia,AFC,Macarthur FC,A_League,5.7,callumtalbot_AUS
Callum Timmins,MF,Central_Midfielder,25,Australia,AFC,Perth Glory,A_League,6.5,callumtimmins_AUS
Callum Wilson,FW,Striker,33,England,UEFA,Without Club,Without_Club,130.0,callumwilson_ENG
Calvin Bassey,DF,Centre_Back,25,Nigeria,CAF,Fulham FC,PremierLeague,406.2,calvinbassey_NIG
Calvin Stengs,MF,Attacking_Midfielder,26,Netherlands,UEFA,Feyenoord Rotterdam,Eredivisie,113.8,calvinstengs_NET
Calvin Verdonk,DF,Left_Back,28,Indonesia,AFC,NEC Nijmegen,Eredivisie,40.6,calvinverdonk_IND
Cameron Archer,FW,Striker,23,England,UEFA,Southampton FC,Championship,195.0,cameronarcher_ENG
Cameron Burgess,DF,Centre_Back,29,Australia,AFC,Swansea City,Championship,32.5,cameronburgess_AUS
Cameron Carter-Vickers,DF,Centre_Back,27,United States,CONCACAF,Celtic FC,Scottish_Premiership,227.5,cameroncarter-vickers_UNI
Cameron Howieson,MF,Central_Midfielder,30,New Zealand,OFC,Auckland FC,A_League,5.7,cameronhowieson_NEW
Cameron Puertas,MF,Attacking_Midfielder,26,Spain,UEFA,Al-Qadsiah FC,Saudi_ProLeague,211.2,cameronpuertas_SPA
Can Bozdogan,MF,Central_Midfielder,24,Germany,UEFA,FC Utrecht,Eredivisie,56.9,canbozdogan_GER
Can Uzun,MF,Attacking_Midfielder,19,Turkey,UEFA,Eintracht Frankfurt,Bundesliga,292.5,canuzun_TUR
Caoimhin Kelleher,GK,Goalkeeper,26,Ireland,UEFA,Brentford FC,PremierLeague,325.0,caoimhinkelleher_IRE
Carlens Arcus,DF,Right_Back,29,Haiti,CONCACAF,Angers SCO,Ligue1,29.2,carlensarcus_HAI
Carlo Boukhalfa,MF,Central_Midfielder,26,Germany,UEFA,FC St. Gallen 1879,Swiss_SuperLeague,32.5,carloboukhalfa_GER
Carlo Holse,MF,Attacking_Midfielder,26,Denmark,UEFA,Samsunspor,SuperLig,61.8,carloholse_DEN
Carlos Baleba,MF,Defensive_Midfielder,21,Cameroon,CAF,Brighton & Hove Albion,PremierLeague,650.0,carlosbaleba_CAM
Carlos Coronel,GK,Goalkeeper,28,Paraguay,CONMEBOL,New York Red Bulls,MLS,24.4,carloscoronel_PAR
Carlos Cuesta,DF,Centre_Back,26,Colombia,CONMEBOL,Galatasaray,SuperLig,113.8,carloscuesta_COL
Carlos Forbs,FW,Left_Winger,21,Portugal,UEFA,Club Brugge KV,Jupiler_ProLeague,130.0,carlosforbs_POR
Carlos Izquierdoz,DF,Centre_Back,36,Argentina,CONMEBOL,CA Lanús,Liga_Profesional,8.1,carlosizquierdoz_ARG
Carlos Miguel,GK,Goalkeeper,26,Brazil,CONMEBOL,Nottingham Forest,PremierLeague,65.0,carlosmiguel_BRA
Carlos Soler,MF,Central_Midfielder,28,Spain,UEFA,Paris Saint-Germain,Ligue1,292.5,carlossoler_SPA
Carl Rushworth,GK,Goalkeeper,24,England,UEFA,Coventry City,Championship,48.8,carlrushworth_ENG
Carlton Morris,FW,Striker,29,England,UEFA,Derby County,Championship,89.4,carltonmorris_ENG
Carney Chukwuemeka,MF,Central_Midfielder,21,England,UEFA,Chelsea FC,PremierLeague,292.5,carneychukwuemeka_ENG
Casemiro,MF,Defensive_Midfielder,33,Brazil,CONMEBOL,Manchester United,PremierLeague,162.5,casemiro_BRA
Caspar Jander,MF,Central_Midfielder,22,Germany,UEFA,1.FC Nuremberg,Bundesliga_2,113.8,casparjander_GER
Casper Tengstedt,FW,Striker,25,Denmark,UEFA,Feyenoord Rotterdam,Eredivisie,97.5,caspertengstedt_DEN
Castello Lukeba,DF,Centre_Back,22,France,UEFA,RB Leipzig,Bundesliga,650.0,castellolukeba_FRA
Catalin Cabuz,GK,Goalkeeper,29,Romania,UEFA,FC Hermannstadt,Romaina_SuperLiga,16.2,catalincabuz_ROM
Cedric Bakambu,FW,Striker,34,Congo,CAF,Real Betis Balompié,LaLiga,24.4,cedricbakambu_CON
Cedric Itten,FW,Striker,28,Switzerland,UEFA,BSC Young Boys,Swiss_SuperLeague,24.4,cedricitten_SWI
Cedric Kipre,DF,Centre_Back,28,Cote d'Ivoire,CAF,Ipswich Town,Championship,48.8,cedrickipre_COT
Cedric Teuchert,FW,Striker,28,Germany,UEFA,St. Louis CITY SC,MLS,56.9,cedricteuchert_GER
Cedric Zesiger,DF,Centre_Back,27,Switzerland,UEFA,FC Augsburg,Bundesliga,113.8,cedriczesiger_SWI
Cengiz Under,FW,Right_Winger,28,Turkey,UEFA,Fenerbahce,SuperLig,121.9,cengizunder_TUR
Cenk Tosun,FW,Striker,34,Turkey,UEFA,Fenerbahce,SuperLig,16.2,cenktosun_TUR
