name,position,age,nation,club,value,league
Joao Marcelo,Centre-Back,25,Brazil,Cruzeiro Esporte Clube,€5.50m,Brasileiro Série A
Alexander Barboza,Centre-Back,30,Argentina,Botafogo de Futebol e Regatas,€5.00m,Brasileiro Série A
Wanderson,Left Winger,30,Brazil,Cruzeiro Esporte Clube,€5.00m,Brasileiro Série A
Franco Mastantuono,Right Winger,17,Argentina,CA River Plate,€30.00m,Liga Profesional
Kevin Lomonaco,Centre-Back,23,Argentina,CA Independiente,€12.00m,Liga Profesional
Juan Ignacio Nardoni,Central Midfield,23,Argentina,Racing Club,€11.00m,Liga Profesional
Valentin Gomez,Centre-Back,22,Argentina,CA Vélez Sarsfield,€10.00m,Liga Profesional
Kevin Zenon,Left Winger,23,Argentina,CA Boca Juniors,€9.00m,Liga Profesional
Felipe Loyola,Central Midfield,24,Chile,CA Independiente,€9.00m,Liga Profesional
Marco Di Cesare,Centre-Back,23,Argentina,Racing Club,€9.00m,Liga Profesional
Kevin Castano,Defensive Midfield,24,Colombia,CA River Plate,€8.00m,Liga Profesional
Santiago Sosa,Centre-Back,26,Argentina,Racing Club,€8.00m,Liga Profesional
Cristian Medina,Central Midfield,23,Argentina,Club Estudiantes de La Plata,€8.00m,Liga Profesional
Lucas Martinez Quarta,Centre-Back,29,Argentina,CA River Plate,€7.00m,Liga Profesional
Santiago Ascacibar,Defensive Midfield,28,Argentina,Club Estudiantes de La Plata,€7.00m,Liga Profesional
Miguel Merentiel,Centre-Forward,29,Uruguay,CA Boca Juniors,€6.50m,Liga Profesional
Thiago Fernandez,Left Winger,21,Argentina,CA Vélez Sarsfield,€6.50m,Liga Profesional
Matias Zaracho,Attacking Midfield,27,Argentina,Racing Club,€6.50m,Liga Profesional
Maher Carrizo,Right Winger,19,Argentina,CA Vélez Sarsfield,€6.00m,Liga Profesional
Alan Lescano,Attacking Midfield,23,Argentina,AA Argentinos Juniors,€6.00m,Liga Profesional
Jhohan Romana,Centre-Back,26,Colombia,CA San Lorenzo de Almagro,€6.00m,Liga Profesional
Sebastian Driussi,Centre-Forward,29,Argentina,CA River Plate,€6.00m,Liga Profesional
Facundo Colidio,Centre-Forward,25,Argentina,CA River Plate,€6.00m,Liga Profesional
Gaston Martirena,Right-Back,25,Uruguay,Racing Club,€6.00m,Liga Profesional
Jaminton Campaz,Left Winger,25,Colombia,CA Rosario Central,€6.00m,Liga Profesional
Williams Alarcon,Central Midfield,24,Chile,CA Boca Juniors,€5.50m,Liga Profesional
Milton Delgado,Defensive Midfield,20,Argentina,CA Boca Juniors,€5.50m,Liga Profesional
Leandro Paredes,Defensive Midfield,31,Argentina,CA Boca Juniors,€5.00m,Liga Profesional
Sebastian Villa,Left Winger,29,Colombia,CS Independiente Rivadavia,€5.00m,Liga Profesional
Gonzalo Montiel,Right-Back,28,Argentina,CA River Plate,€5.00m,Liga Profesional
Marcelino Moreno,Attacking Midfield,30,Argentina,CA Lanús,€5.00m,Liga Profesional
Mateo Silvetti,Right Winger,19,Argentina,CA Newell's Old Boys,€5.00m,Liga Profesional
Nicolas Fernandez,Centre-Forward,29,Argentina,Club Atlético Belgrano,€4.80m,Liga Profesional
Tomas Belmonte,Defensive Midfield,27,Argentina,CA Boca Juniors,€4.70m,Liga Profesional
Fabricio Bustos,Right-Back,29,Argentina,CA River Plate,€4.70m,Liga Profesional
Giuliano Galoppo,Central Midfield,26,Argentina,CA River Plate,€4.70m,Liga Profesional
Matias Galarza,Defensive Midfield,23,Argentina,CA Talleres,€4.70m,Liga Profesional
Alex Arce,Centre-Forward,30,Paraguay,CS Independiente Rivadavia,€4.50m,Liga Profesional
Leonel Perez,Defensive Midfield,20,Argentina,CA Huracán,€4.50m,Liga Profesional
Exequiel Zeballos,Right Winger,23,Argentina,CA Boca Juniors,€4.50m,Liga Profesional
Paulo Diaz,Centre-Back,30,Chile,CA River Plate,€4.50m,Liga Profesional
Santiago Simon,Right Midfield,23,Argentina,CA River Plate,€4.50m,Liga Profesional
Vicente Taborda,Attacking Midfield,24,Argentina,Club Atlético Platense,€4.00m,Liga Profesional
Matko Miljevic,Attacking Midfield,24,United States,CA Huracán,€4.00m,Liga Profesional
Malcom Braida,Left Midfield,28,Argentina,CA Boca Juniors,€4.00m,Liga Profesional
Carlos Palacios,Attacking Midfield,25,Chile,CA Boca Juniors,€4.00m,Liga Profesional
Brian Aguirre,Left Winger,22,Argentina,CA Boca Juniors,€4.00m,Liga Profesional
Mariano Troilo,Centre-Back,22,Argentina,Club Atlético Belgrano,€4.00m,Liga Profesional
Marco Pellegrino,Centre-Back,23,Argentina,CA Boca Juniors,€4.00m,Liga Profesional
Francisco Alvarez,Centre-Back,25,Argentina,AA Argentinos Juniors,€4.00m,Liga Profesional
Hernan Lopez,Attacking Midfield,24,Argentina,AA Argentinos Juniors,€4.00m,Liga Profesional
Orlando Gill,Goalkeeper,25,Paraguay,CA San Lorenzo de Almagro,€4.00m,Liga Profesional
Tobias Ramirez,Centre-Back,18,Argentina,AA Argentinos Juniors,€4.00m,Liga Profesional
Walter Mazzantti,Right Winger,28,Argentina,CA Independiente,€4.00m,Liga Profesional
Lautaro Rivero,Centre-Back,21,Argentina,CA River Plate,€4.00m,Liga Profesional
Richard Sanchez,Central Midfield,29,Paraguay,Racing Club,€4.00m,Liga Profesional
Juan Pablo Cozzani,Goalkeeper,26,Argentina,Club Atlético Platense,€3.80m,Liga Profesional
Tomas Marchiori,Goalkeeper,30,Argentina,CA Vélez Sarsfield,€3.80m,Liga Profesional
Lautaro Blanco,Left-Back,26,Argentina,CA Boca Juniors,€3.80m,Liga Profesional
Gaston Lodico,Central Midfield,27,Argentina,Instituto ACC,€3.80m,Liga Profesional
Maximiliano Salas,Centre-Forward,27,Argentina,CA River Plate,€3.80m,Liga Profesional
Sebastian Boselli,Centre-Back,21,Uruguay,CA River Plate,€3.80m,Liga Profesional
Enzo Copetti,Centre-Forward,29,Argentina,CA Rosario Central,€3.80m,Liga Profesional
Diego Valdes,Attacking Midfield,31,Chile,CA Vélez Sarsfield,€3.50m,Liga Profesional
Kevin Gutierrez,Defensive Midfield,28,Argentina,Defensa y Justicia,€3.50m,Liga Profesional
Santino Andino,Left Winger,19,Argentina,CD Godoy Cruz Antonio Tomba,€3.50m,Liga Profesional
Alan Velasco,Left Winger,22,Argentina,CA Boca Juniors,€3.50m,Liga Profesional
Milton Gimenez,Centre-Forward,28,Argentina,CA Boca Juniors,€3.50m,Liga Profesional
Alex Luna,Second Striker,21,Argentina,Instituto ACC,€3.50m,Liga Profesional
Manuel Roffo,Goalkeeper,25,Argentina,Instituto ACC,€3.50m,Liga Profesional
Leandro Lozano,Right-Back,26,Uruguay,AA Argentinos Juniors,€3.50m,Liga Profesional
Gaston Hernandez,Centre-Back,27,Argentina,CA San Lorenzo de Almagro,€3.50m,Liga Profesional
Miguel Borja,Centre-Forward,32,Colombia,CA River Plate,€3.50m,Liga Profesional
Matias Rojas,Attacking Midfield,29,Paraguay,CA River Plate,€3.50m,Liga Profesional
Santiago Montiel,Right Winger,24,Argentina,CA Independiente,€3.50m,Liga Profesional
Juan Portilla,Central Midfield,26,Colombia,CA Talleres,€3.50m,Liga Profesional
Adrian Martinez,Centre-Forward,33,Argentina,Racing Club,€3.50m,Liga Profesional
Tiago Palacios,Right Winger,24,Uruguay,Club Estudiantes de La Plata,€3.50m,Liga Profesional
Franco Ibarra,Defensive Midfield,24,Argentina,CA Rosario Central,€3.50m,Liga Profesional
Facundo Farias,Attacking Midfield,22,Argentina,Club Estudiantes de La Plata,€3.30m,Liga Profesional
Ulises Sanchez,Right Winger,27,Argentina,Club Atlético Belgrano,€3.20m,Liga Profesional
Aaron Quiros,Centre-Back,23,Argentina,CA Vélez Sarsfield,€3.20m,Liga Profesional
Ayrton Costa,Centre-Back,26,Argentina,CA Boca Juniors,€3.20m,Liga Profesional
Franco Petroli,Goalkeeper,27,Argentina,CD Godoy Cruz Antonio Tomba,€3.20m,Liga Profesional
Luis Angulo,Left Winger,21,Colombia,CA Talleres,€3.20m,Liga Profesional
Ignacio Vazquez,Centre-Back,28,Argentina,Club Atlético Platense,€3.00m,Liga Profesional
Leonel Picco,Defensive Midfield,26,Argentina,Club Atlético Platense,€3.00m,Liga Profesional
Joaquin Garcia,Right-Back,23,Argentina,CA Vélez Sarsfield,€3.00m,Liga Profesional
Felipe Zenobio,Goalkeeper,25,Argentina,Club Atlético Tigre,€3.00m,Liga Profesional
Nahuel Losada,Goalkeeper,32,Argentina,CA Lanús,€3.00m,Liga Profesional
Juan Gimenez,Centre-Back,19,Argentina,CA Rosario Central,€3.00m,Liga Profesional
Damian Puebla,Attacking Midfield,22,Argentina,Instituto ACC,€3.00m,Liga Profesional
Andres Vombergar,Centre-Forward,30,Slovenia,CA San Lorenzo de Almagro,€3.00m,Liga Profesional
Maximiliano Meza,Right Winger,32,Argentina,CA River Plate,€3.00m,Liga Profesional
Conan Ledesma,Goalkeeper,32,Argentina,CA River Plate,€3.00m,Liga Profesional
Aaron Molinas,Attacking Midfield,24,Argentina,Defensa y Justicia,€3.00m,Liga Profesional
Santiago Longo,Defensive Midfield,27,Argentina,Club Atlético Belgrano,€3.00m,Liga Profesional
Matias Mansilla,Goalkeeper,29,Argentina,Club Atlético Tucumán,€3.00m,Liga Profesional
Juan Carlos Portillo,Centre-Back,25,Argentina,CA River Plate,€3.00m,Liga Profesional
Lucas Zelarayan,Attacking Midfield,33,Armenia,Club Atlético Belgrano,€3.00m,Liga Profesional
Santiago Solari,Right Winger,27,Argentina,Racing Club,€3.00m,Liga Profesional
Mateo Coronel,Centre-Forward,26,Argentina,Club Atlético Tucumán,€3.00m,Liga Profesional
Nazareno Colombo,Centre-Back,26,Argentina,Racing Club,€3.00m,Liga Profesional
Angel Correa,Right Winger,30,Argentina,Tigres UANL,€10.00m,Liga MX Apertura
Alexis Vega,Left Winger,27,Mexico,Deportivo Toluca,€10.00m,Liga MX Apertura
Alvaro Fidalgo,Central Midfield,28,Spain,CF América,€9.00m,Liga MX Apertura
Luis Malagon,Goalkeeper,28,Mexico,CF América,€8.00m,Liga MX Apertura
Alex Zendejas,Right Winger,27,United States,CF América,€8.00m,Liga MX Apertura
Erik Lira,Defensive Midfield,25,Mexico,CD Cruz Azul,€8.00m,Liga MX Apertura
Mateusz Bogusz,Attacking Midfield,23,Poland,CD Cruz Azul,€7.50m,Liga MX Apertura
Paulinho,Centre-Forward,32,Portugal,Deportivo Toluca,€7.50m,Liga MX Apertura
Marcel Ruiz,Central Midfield,24,Mexico,Deportivo Toluca,€7.50m,Liga MX Apertura
Georgios Giakoumakis,Centre-Forward,30,Greece,CD Cruz Azul,€7.00m,Liga MX Apertura
Kevin Mier,Goalkeeper,25,Colombia,CD Cruz Azul,€7.00m,Liga MX Apertura
Jose Paradela,Central Midfield,26,Argentina,CD Cruz Azul,€7.00m,Liga MX Apertura
Oussama Idrissi,Left Winger,29,Morocco,CF Pachuca,€7.00m,Liga MX Apertura
Diber Cambindo,Centre-Forward,29,Colombia,Club Necaxa,€6.50m,Liga MX Apertura
Erick Sanchez,Defensive Midfield,25,Mexico,CF América,€6.50m,Liga MX Apertura
Juan Brunetta,Attacking Midfield,28,Argentina,Tigres UANL,€6.50m,Liga MX Apertura
Jesus Orozco Chiquete,Centre-Back,23,Mexico,CD Cruz Azul,€6.50m,Liga MX Apertura
Juan Manuel Sanabria,Left-Back,25,Uruguay,Atlético de San Luis,€6.50m,Liga MX Apertura
Roberto Alvarado,Right Winger,26,Mexico,Deportivo Guadalajara,€6.50m,Liga MX Apertura
Helinho,Right Winger,25,Brazil,Deportivo Toluca,€6.50m,Liga MX Apertura
Ramon Juarez,Centre-Back,24,Mexico,CF América,€6.00m,Liga MX Apertura
Brian Rodriguez,Left Winger,25,Uruguay,CF América,€6.00m,Liga MX Apertura
Joaquim,Centre-Back,26,Brazil,Tigres UANL,€6.00m,Liga MX Apertura
Nelson Deossa,Central Midfield,25,Colombia,CF Monterrey,€6.00m,Liga MX Apertura
German Berterame,Centre-Forward,26,Mexico,CF Monterrey,€6.00m,Liga MX Apertura
Lucas Ocampos,Left Winger,31,Argentina,CF Monterrey,€6.00m,Liga MX Apertura
Sergio Canales,Attacking Midfield,34,Spain,CF Monterrey,€6.00m,Liga MX Apertura
Victor Davila,Centre-Forward,27,Chile,CF América,€5.50m,Liga MX Apertura
Jesus Angulo,Left-Back,27,Mexico,Tigres UANL,€5.50m,Liga MX Apertura
Fernando Gorriaran,Central Midfield,30,Uruguay,Tigres UANL,€5.50m,Liga MX Apertura
Victor Guzman,Centre-Back,23,Mexico,CF Monterrey,€5.50m,Liga MX Apertura
Efrain Alvarez,Right Winger,23,Mexico,Deportivo Guadalajara,€5.50m,Liga MX Apertura
Federico Pereira,Centre-Back,25,Uruguay,Deportivo Toluca,€5.50m,Liga MX Apertura
Kevin Alvarez,Right-Back,26,Mexico,CF América,€5.00m,Liga MX Apertura
Sebastian Caceres,Centre-Back,25,Uruguay,CF América,€5.00m,Liga MX Apertura
Jose Caicedo,Defensive Midfield,23,Colombia,UNAM Pumas,€5.00m,Liga MX Apertura
Pedro Vite,Central Midfield,23,Ecuador,UNAM Pumas,€5.00m,Liga MX Apertura
Nathan Silva,Centre-Back,28,Brazil,UNAM Pumas,€5.00m,Liga MX Apertura
Carlos Rodriguez,Defensive Midfield,28,Mexico,CD Cruz Azul,€5.00m,Liga MX Apertura
Willer Ditta,Centre-Back,27,Colombia,CD Cruz Azul,€5.00m,Liga MX Apertura
Fidel Ambriz,Defensive Midfield,22,Mexico,CF Monterrey,€5.00m,Liga MX Apertura
Raul Rangel,Goalkeeper,25,Mexico,Deportivo Guadalajara,€5.00m,Liga MX Apertura
Elias Montiel,Defensive Midfield,19,Mexico,CF Pachuca,€5.00m,Liga MX Apertura
Alan Cervantes,Defensive Midfield,27,Mexico,CF América,€4.50m,Liga MX Apertura
Carlos Rotondi,Left Winger,28,Argentina,CD Cruz Azul,€4.50m,Liga MX Apertura
Bryan Gonzalez,Left-Back,22,Mexico,Deportivo Guadalajara,€4.50m,Liga MX Apertura
Luis Romo,Central Midfield,30,Mexico,Deportivo Guadalajara,€4.50m,Liga MX Apertura
Jesus Angulo,Attacking Midfield,28,Mexico,Deportivo Toluca,€4.50m,Liga MX Apertura
Bruno Mendez,Centre-Back,25,Uruguay,Deportivo Toluca,€4.50m,Liga MX Apertura
Israel Reyes,Centre-Back,25,Mexico,CF América,€4.00m,Liga MX Apertura
Agustin Palavecino,Central Midfield,28,Argentina,Club Necaxa,€4.00m,Liga MX Apertura
Romulo,Defensive Midfield,25,Brazil,Tigres UANL,€4.00m,Liga MX Apertura
Ozziel Herrera,Right Winger,24,Mexico,Tigres UANL,€4.00m,Liga MX Apertura
Luka Romero,Right Winger,20,Argentina,CD Cruz Azul,€4.00m,Liga MX Apertura
Cade Cowell,Left Winger,21,United States,Deportivo Guadalajara,€4.00m,Liga MX Apertura
Alan Mozo,Right-Back,28,Mexico,Deportivo Guadalajara,€4.00m,Liga MX Apertura
Gaston Togni,Left Winger,27,Argentina,CF Pachuca,€4.00m,Liga MX Apertura
Oliver Torres,Central Midfield,30,Spain,CF Monterrey,€4.00m,Liga MX Apertura
Oscar Estupinan,Centre-Forward,28,Colombia,FC Juárez,€4.00m,Liga MX Apertura
Fernando Beltran,Central Midfield,27,Mexico,Club León FC,€4.00m,Liga MX Apertura
Shamar Nicholson,Centre-Forward,28,Jamaica,Club Tijuana,€3.80m,Liga MX Apertura
Adalberto Carrasquilla,Central Midfield,26,Panama,UNAM Pumas,€3.80m,Liga MX Apertura
Omar Campos,Left-Back,23,Mexico,CD Cruz Azul,€3.80m,Liga MX Apertura
Adonis Frias,Centre-Back,27,Argentina,Club León FC,€3.80m,Liga MX Apertura
Rodrigo Echeverria,Defensive Midfield,30,Chile,Club León FC,€3.80m,Liga MX Apertura
Nicolas Castro,Attacking Midfield,24,Argentina,Deportivo Toluca,€3.50m,Liga MX Apertura
Alexis Gutierrez,Central Midfield,25,Mexico,CF América,€3.50m,Liga MX Apertura
Iker Fimbres,Attacking Midfield,20,Mexico,CF Monterrey,€3.50m,Liga MX Apertura
Gerardo Arteaga,Left-Back,26,Mexico,CF Monterrey,€3.50m,Liga MX Apertura
Andres Montano,Central Midfield,23,Mexico,CD Cruz Azul,€3.50m,Liga MX Apertura
Jorge Rodriguez,Defensive Midfield,29,Argentina,CF Monterrey,€3.50m,Liga MX Apertura
Jhonder Cadiz,Centre-Forward,29,Venezuela,CF Pachuca,€3.50m,Liga MX Apertura
Alemao,Centre-Forward,27,Brazil,CF Pachuca,€3.50m,Liga MX Apertura
Carlos Moreno,Goalkeeper,27,Mexico,CF Pachuca,€3.50m,Liga MX Apertura
Nicolas Fonseca,Defensive Midfield,26,Uruguay,Club León FC,€3.50m,Liga MX Apertura
Agustin Oliveros,Centre-Back,26,Uruguay,Club Necaxa,€3.50m,Liga MX Apertura
Jairo Torres,Right Winger,25,Mexico,FC Juárez,€3.50m,Liga MX Apertura
Jorge Ruvalcaba,Left Winger,24,Mexico,UNAM Pumas,€3.50m,Liga MX Apertura
Jesus Gallardo,Left-Back,30,Mexico,Deportivo Toluca,€3.50m,Liga MX Apertura
Johan Rojas,Attacking Midfield,22,Colombia,Club Necaxa,€3.50m,Liga MX Apertura
Sebastian Cordova,Attacking Midfield,28,Mexico,Tigres UANL,€3.50m,Liga MX Apertura
Gilberto Sepulveda,Centre-Back,26,Mexico,Deportivo Guadalajara,€3.50m,Liga MX Apertura
Diego Lainez,Right Winger,25,Mexico,Tigres UANL,€3.50m,Liga MX Apertura
Rodrigo Dourado,Defensive Midfield,31,Brazil,Atlético de San Luis,€3.50m,Liga MX Apertura
Pedro Pedraza,Defensive Midfield,25,Mexico,CF Pachuca,€3.20m,Liga MX Apertura
Carlos Acevedo,Goalkeeper,29,Mexico,Santos Laguna,€3.00m,Liga MX Apertura
Ezequiel Unsain,Goalkeeper,30,Argentina,Club Necaxa,€3.00m,Liga MX Apertura
Ralph Orquin,Left-Back,22,Mexico,CF América,€3.00m,Liga MX Apertura
Alexis Pena,Centre-Back,29,Mexico,Club Necaxa,€3.00m,Liga MX Apertura
Isaias Violante,Left Winger,21,Mexico,CF América,€3.00m,Liga MX Apertura
Vitinho,Right Winger,24,Brazil,Club Tijuana,€3.00m,Liga MX Apertura
Alan Montes,Centre-Back,24,Mexico,Club Necaxa,€3.00m,Liga MX Apertura
Henry Martin,Centre-Forward,32,Mexico,CF América,€3.00m,Liga MX Apertura
Gilberto Mora,Attacking Midfield,16,Mexico,Club Tijuana,€3.00m,Liga MX Apertura
Uriel Antuna,Right Winger,27,Mexico,Tigres UANL,€3.00m,Liga MX Apertura
Jeremy Marquez,Central Midfield,25,Mexico,CD Cruz Azul,€3.00m,Liga MX Apertura
Anderson Duarte,Right Winger,21,Uruguay,Mazatlán FC,€3.00m,Liga MX Apertura
Ricardo Chavez,Right-Back,30,Mexico,CF Monterrey,€3.00m,Liga MX Apertura
Brian Garcia,Right-Back,27,Mexico,Deportivo Toluca,€3.00m,Liga MX Apertura
Erick Gutierrez,Central Midfield,30,Mexico,Deportivo Guadalajara,€3.00m,Liga MX Apertura
Ardon Jashari,Defensive Midfield,22,Switzerland,Club Brugge KV,€32.00m,Jupiler ProLeague
Joel Ordonez,Centre-Back,21,Ecuador,Club Brugge KV,€28.00m,Jupiler ProLeague
Christos Tzolis,Left Winger,23,Greece,Club Brugge KV,€25.00m,Jupiler ProLeague
Konstantinos Karetsas,Attacking Midfield,17,Greece,KRC Genk,€20.00m,Jupiler ProLeague
Raphael Onyedika,Defensive Midfield,24,Nigeria,Club Brugge KV,€20.00m,Jupiler ProLeague
Tolu Arokodare,Centre-Forward,24,Nigeria,KRC Genk,€18.00m,Jupiler ProLeague
Kasper Dolberg,Centre-Forward,27,Denmark,RSC Anderlecht,€13.00m,Jupiler ProLeague
Matte Smets,Centre-Back,21,Belgium,KRC Genk,€13.00m,Jupiler ProLeague
Franjo Ivanovic,Centre-Forward,21,Croatia,Union Saint-Gilloise,€13.00m,Jupiler ProLeague
Mario Stroeykens,Attacking Midfield,20,Belgium,RSC Anderlecht,€12.00m,Jupiler ProLeague
Zakaria El Ouahdi,Right-Back,23,Morocco,KRC Genk,€12.00m,Jupiler ProLeague
Jarne Steuckers,Right Winger,23,Belgium,KRC Genk,€11.00m,Jupiler ProLeague
Aleksandar Stankovic,Defensive Midfield,19,Serbia,Club Brugge KV,€11.00m,Jupiler ProLeague
Bryan Heynen,Central Midfield,28,Belgium,KRC Genk,€11.00m,Jupiler ProLeague
Promise David,Centre-Forward,24,Canada,Union Saint-Gilloise,€11.00m,Jupiler ProLeague
Zeno Van Den Bosch,Centre-Back,22,Belgium,Royal Antwerp FC,€10.00m,Jupiler ProLeague
Senne Lammens,Goalkeeper,23,Belgium,Royal Antwerp FC,€9.00m,Jupiler ProLeague
Nicolo Tresoldi,Centre-Forward,20,Germany,Club Brugge KV,€9.00m,Jupiler ProLeague
Mathias Delorge,Central Midfield,20,Belgium,KAA Gent,€9.00m,Jupiler ProLeague
Mahamadou Doumbia,Central Midfield,21,Mali,Royal Antwerp FC,€9.00m,Jupiler ProLeague
Ibrahima Sory Bangoura,Defensive Midfield,21,Guinea,KRC Genk,€8.00m,Jupiler ProLeague
Jan-Carlo Simic,Centre-Back,20,Serbia,RSC Anderlecht,€8.00m,Jupiler ProLeague
Joaquin Seys,Left-Back,20,Belgium,Club Brugge KV,€8.00m,Jupiler ProLeague
Mujaid Sadick,Centre-Back,25,Spain,KRC Genk,€8.00m,Jupiler ProLeague
Carlos Forbs,Left Winger,21,Portugal,Club Brugge KV,€8.00m,Jupiler ProLeague
Anan Khalaili,Right Winger,20,Israel,Union Saint-Gilloise,€8.00m,Jupiler ProLeague
Kevin Mac Allister,Centre-Back,27,Argentina,Union Saint-Gilloise,€7.50m,Jupiler ProLeague
Matija Frigan,Centre-Forward,22,Croatia,KVC Westerlo,€7.50m,Jupiler ProLeague
Hans Vanaken,Attacking Midfield,32,Belgium,Club Brugge KV,€7.00m,Jupiler ProLeague
Ludovit Reis,Central Midfield,25,Netherlands,Club Brugge KV,€7.00m,Jupiler ProLeague
Vincent Janssen,Centre-Forward,31,Netherlands,Royal Antwerp FC,€7.00m,Jupiler ProLeague
Michel-Ange Balikwisha,Left Winger,24,Belgium,Royal Antwerp FC,€7.00m,Jupiler ProLeague
Cesar Huerta,Left Winger,24,Mexico,RSC Anderlecht,€6.00m,Jupiler ProLeague
Mihajlo Cvetkovic,Centre-Forward,18,Serbia,RSC Anderlecht,€6.00m,Jupiler ProLeague
Charles Vanhoutte,Defensive Midfield,26,Belgium,Union Saint-Gilloise,€6.00m,Jupiler ProLeague
Adem Zorgane,Central Midfield,25,Algeria,Union Saint-Gilloise,€6.00m,Jupiler ProLeague
Romeo Vermant,Centre-Forward,21,Belgium,Club Brugge KV,€6.00m,Jupiler ProLeague
Gustaf Nilsson,Centre-Forward,28,Sweden,Club Brugge KV,€5.00m,Jupiler ProLeague
Alessio Castro-Montes,Right Midfield,28,Belgium,Union Saint-Gilloise,€5.00m,Jupiler ProLeague
Marlon Fossey,Right-Back,26,United States,Standard Liège,€5.00m,Jupiler ProLeague
Killian Sardella,Right-Back,23,Belgium,RSC Anderlecht,€5.00m,Jupiler ProLeague
Yari Verschaeren,Attacking Midfield,24,Belgium,RSC Anderlecht,€5.00m,Jupiler ProLeague
Dogucan Haspolat,Defensive Midfield,25,Türkiye,KVC Westerlo,€5.00m,Jupiler ProLeague
Kjell Scherpen,Goalkeeper,25,Netherlands,Union Saint-Gilloise,€5.00m,Jupiler ProLeague
Lucas Hey,Centre-Back,22,Denmark,RSC Anderlecht,€5.00m,Jupiler ProLeague
Yira Sor,Left Winger,25,Nigeria,KRC Genk,€5.00m,Jupiler ProLeague
Dante Vanzeir,Centre-Forward,27,Belgium,KAA Gent,€5.00m,Jupiler ProLeague
Yassine Titraoui,Central Midfield,21,Algeria,Royal Charleroi SC,€5.00m,Jupiler ProLeague
Mohammed Fuseini,Centre-Forward,23,Ghana,Union Saint-Gilloise,€4.50m,Jupiler ProLeague
Adriano Bertaccini,Centre-Forward,24,Belgium,Sint-Truidense VV,€4.50m,Jupiler ProLeague
Christiaan Ravych,Centre-Back,22,Belgium,Cercle Brugge ,€4.50m,Jupiler ProLeague
Kyriani Sabbe,Right-Back,20,Belgium,Club Brugge KV,€4.50m,Jupiler ProLeague
Noah Adedeji-Sternberg,Left Winger,20,Belgium,KRC Genk,€4.50m,Jupiler ProLeague
Omri Gandelman,Attacking Midfield,25,Israel,KAA Gent,€4.00m,Jupiler ProLeague
Matthieu Epolo,Goalkeeper,20,Belgium,Standard Liège,€4.00m,Jupiler ProLeague
Bjorn Meijer,Left-Back,22,Netherlands,Club Brugge KV,€4.00m,Jupiler ProLeague
Hugo Siquet,Right-Back,23,Belgium,Club Brugge KV,€4.00m,Jupiler ProLeague
Hugo Vetlesen,Central Midfield,25,Norway,Club Brugge KV,€4.00m,Jupiler ProLeague
Gora Diouf,Centre-Back,21,Senegal,KV Mechelen,€4.00m,Jupiler ProLeague
Enric Llansana,Defensive Midfield,24,Netherlands,RSC Anderlecht,€4.00m,Jupiler ProLeague
Tobe Leysen,Goalkeeper,23,Belgium,Oud-Heverlee Leuven,€4.00m,Jupiler ProLeague
Ilay Camara,Left Midfield,22,Senegal,RSC Anderlecht,€4.00m,Jupiler ProLeague
Andi Zeqiri,Centre-Forward,26,Switzerland,KRC Genk,€4.00m,Jupiler ProLeague
Nikola Stulic,Centre-Forward,23,Serbia,Royal Charleroi SC,€4.00m,Jupiler ProLeague
Allahyar Sayyadmanesh,Left Winger,24,Iran,KVC Westerlo,€4.00m,Jupiler ProLeague
Griffin Yow,Right Winger,22,United States,KVC Westerlo,€4.00m,Jupiler ProLeague
Tuur Rommens,Left-Back,22,Belgium,KVC Westerlo,€4.00m,Jupiler ProLeague
Ousseynou Niang,Left Winger,23,Senegal,Union Saint-Gilloise,€4.00m,Jupiler ProLeague
Brandon Mechele,Centre-Back,32,Belgium,Club Brugge KV,€3.50m,Jupiler ProLeague
Max Dean,Centre-Forward,21,England,KAA Gent,€3.50m,Jupiler ProLeague
Ibe Hautekiet,Centre-Back,23,Belgium,Standard Liège,€3.50m,Jupiler ProLeague
Nathan Ngoy,Centre-Back,22,Belgium,Standard Liège,€3.50m,Jupiler ProLeague
Sofiane Boufal,Left Winger,31,Morocco,Union Saint-Gilloise,€3.50m,Jupiler ProLeague
Bryan Reynolds,Right-Back,24,United States,KVC Westerlo,€3.50m,Jupiler ProLeague
Emin Bayram,Centre-Back,22,Türkiye,KVC Westerlo,€3.50m,Jupiler ProLeague
Nathan-Dylan Saliba,Central Midfield,21,Canada,RSC Anderlecht,€3.50m,Jupiler ProLeague
Yaimar Medina,Left-Back,20,Ecuador,KRC Genk,€3.50m,Jupiler ProLeague
Nikolas Sattlberger,Defensive Midfield,21,Austria,KRC Genk,€3.50m,Jupiler ProLeague
Hyeon-gyu Oh,Centre-Forward,24,"Korea, South",KRC Genk,€3.50m,Jupiler ProLeague
Leonardo Lopes,Central Midfield,26,Portugal,KAA Gent,€3.50m,Jupiler ProLeague
Stelios Andreou,Centre-Back,23,Cyprus,Royal Charleroi SC,€3.50m,Jupiler ProLeague
Alan Minda,Right Winger,22,Ecuador,Cercle Brugge ,€3.00m,Jupiler ProLeague
Nazinho,Left-Back,22,Portugal,Cercle Brugge ,€3.00m,Jupiler ProLeague
Theo Leoni,Central Midfield,25,Belgium,RSC Anderlecht,€3.00m,Jupiler ProLeague
Lazare Amani,Central Midfield,27,Cote d'Ivoire,Union Saint-Gilloise,€3.00m,Jupiler ProLeague
